round,pick_idx,smiles,mu,std,UCB,True f
0,1,Cc1ccccc1C1CC(N2CCOCC2)CCC1c1cc(C(c2ccccc2)c2ccccc2)n[nH]1,0.13608919084072113,0.9765152335166931,3.2241015434265137,4.5062889010378446e-05
0,2,COC(C(=O)O)C(N)C(=O)O,0.08216724544763565,0.9892445206642151,3.210433006286621,4.025183984788321e-05
0,3,Cc1ncn2c(=O)[nH]c(=S)[nH]c12,0.09978170692920685,0.984614372253418,3.2134058475494385,0.10981611764377586
0,4,O=C(OCCCCOC1OC(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O)c1cccc2c1-c1ccccc1C2=O,0.10669417679309845,0.9832737445831299,3.216078758239746,4.870841208115697e-05
0,5,N#Cc1cc2c(nc1SCC(=O)Nc1sc3c(c1C#N)CCC3)CCCC2,0.09053950011730194,0.9869958162307739,3.2116942405700684,0.10167650620427471
1,1,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Nn1cnnc1,0.10811246931552887,0.9776396155357361,3.1996805667877197,0.1024261061821858
1,2,COc1c(OC)c(OC)c(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)c(OC)c1OC,0.0819595456123352,0.984123945236206,3.194032669067383,0.3090977212369663
1,3,CCCCCCCCCCCCCCCCCC(=O)Nc1cccc(C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NC(CCCN)C(N)=O)c1,0.06203116849064827,0.9898635745048523,3.1922547817230225,0.0059952001149358005
1,4,Cc1n[n+](CC(C#N)=NO)c(C)n1N,0.06908538937568665,0.9871307015419006,3.190666675567627,0.005031692973674133
1,5,O=P([O-])(O)C(O)(C[n+]1ccccc1)P(=O)(O)O,0.0650046318769455,0.9890362024307251,3.1926116943359375,0.0051919956003057925
2,1,COc1cc(N2C(=O)C3C(C2=O)C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)cc(OC)c1OC,0.13451023399829865,0.9690720438957214,3.1989850997924805,0.14107532574761605
2,2,O=C1NCCCN2CCN(CCCn3c(=O)c4ccc5c(=O)n(c(=O)c6ccc(c3=O)c4c56)CCCN3CCN(CCCNC(=O)c4ccc1cc4)CC3)CC2,0.08034961670637131,0.9838346838951111,3.1915080547332764,1.7121202075700204e-112
2,3,O=c1sc2c(s1)SSSSS2,0.04321735352277756,0.9945754408836365,3.1883411407470703,0.07180271469509522
2,4,CSC(=S)NC1CCOC1=O,0.062188662588596344,0.9885266423225403,3.1881844997406006,0.004055150609510011
2,5,N=C(NN=Cc1c(F)c(F)c(F)c(F)c1F)NN=Cc1c(F)c(F)c(F)c(F)c1F,0.0574900358915329,0.9901294708251953,3.188554525375366,0.07973727760995
3,1,COC(=O)C=C(C)C=C(F)C=C(C)C=Cc1c(C)cc(OC)c(C)c1C,0.11585848033428192,0.9724181294441223,3.1909146308898926,0.006868364583275318
