round,pick_idx,smiles,mu,std,UCB,True f,min_d_batch,min_d_hist
0,1,COc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2N2CCN(C)CC2)cc1,0.45590031147003174,0.8570387959480286,1.312939167022705,0.659088517360424,1.0,0.5539568345323741
0,2,COc1cc(NC(=O)NC(CCSC)C(=O)O)cc(OC)c1,0.32143867015838623,0.9299500584602356,1.2513887882232666,0.5066852833433063,0.8531468531468531,0.7205882352941176
0,3,CC(=O)c1cccc(NC(=O)Nc2ccc3nc(C)cc(NC(=O)c4ccccc4)c3c2)c1,0.3262624442577362,0.9222000241279602,1.248462438583374,0.33053847352938265,0.8342541436464088,0.7225433526011561
0,4,Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4N)nc23)c(C(N)=O)n1,0.2934034466743469,0.9309648275375366,1.2243683338165283,0.548912420676332,0.8402366863905325,0.6951219512195121
0,5,COC(=O)C(CCCNC(=N)N[N+](=O)[O-])NC(=O)c1cc(-c2nc3ccc([N+](=O)[O-])cc3[nH]2)ccc1O,0.2990035116672516,0.9398825168609619,1.2388859987258911,0.5837278795839191,0.8097826086956521,0.7835051546391752
1,1,COc1ccc(NC(=O)NNC(=O)c2cc([N+](=O)[O-])cn2C)cc1,0.49352750182151794,0.8588199615478516,1.352347493171692,0.46535517443397567,1.0,0.6097560975609756
1,2,COc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2NC(=O)CNC2CCCCC2C)c(OC)c1,0.4467765688896179,0.9001534581184387,1.3469300270080566,0.599808122788323,0.7290322580645161,0.7037037037037037
1,3,CSCCC(NC(=O)c1ccc([N+](=O)[O-])cc1Cl)C(=O)OCC(=O)N1CCN(C(C)=O)CC1,0.38790374994277954,0.9230471253395081,1.3109508752822876,0.5658313084765678,0.8105263157894737,0.7654320987654322
1,4,CCCCNC(=O)CCC(=O)Nc1ccc2nc(N3CCN(C)CC3)cc(C)c2c1,0.3674114942550659,0.9209228157997131,1.2883343696594238,0.4923114842423244,0.8315217391304348,0.7142857142857143
1,5,COc1cc(Nc2nc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3nc2-c2ccccc2)cc(OC)c1,0.35749220848083496,0.9163293838500977,1.2738215923309326,0.435276598344422,0.808641975308642,0.7344632768361582
