Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
1,0.05,0,1,5,CCOC(=O)c1c(N2CCOCC2)[nH]c(=O)c(C(c2c(O)c(C(=O)OCC)c(N3CCOCC3)[nH]c2=O)C(C)C)c1O,0.4896,0.4642
1,0.05,0,2,5,CC#CC1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(S(=O)(=O)NC)cn1,0.5502,0.5347
1,0.05,0,3,5,COc1ccc(C(O)=Nc2ccc3c(c2)C2(CCOC(=N)N2)c2cc(OC)cc(F)c2O3)c(F)c1,0.5194,0.5049
1,0.05,0,4,5,O=C(NN1C(=O)c2ccccc2C1=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,0.5553,0.5276
1,0.05,0,5,5,CS(=O)(=O)C1CCC(N=C(O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC2CCOCC2)CC1,0.5488,0.6186
1,0.05,1,1,5,CC(C)(C)c1cc(N2CCC(=O)NC2=O)cc(C(=O)Nc2ccc(OS(C)(=O)=O)cc2)c1O,0.6632,0.5751
1,0.05,1,2,5,O=S(=O)(c1ccc(CN=C(O)N2Cc3ccncc3C2)nc1)c1ccc(N2CCOCC2)nc1,0.6552,0.6143
1,0.05,1,3,5,O=C(O)CCc1cc(F)c(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1F,0.6452,0.5724
1,0.05,1,4,5,CC(=O)OC(C)(C)C(O)=NCCN=C(O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,0.661,0.5613
1,0.05,1,5,5,CC(C)CC(C(=O)N1CCOCC1)C(CN1C(=O)c2ccccc2C1=O)C(=O)NO,0.6345,0.6073
1,0.05,2,1,5,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(NC(=O)OC)cc4)CC3)cc21,0.755,0.6265
1,0.05,2,2,5,Cc1ccc(NC(=O)C(C)N2C(=O)c3ccccc3C2=O)cc1S(=O)(=O)N1CCOCC1,0.7976,0.5565
1,0.05,2,3,5,CC(C)(O)C(F)CN=C(O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1cccc(S(N)(=O)=O)c1,0.7473,0.5538
1,0.05,2,4,5,COc1cnc(-c2ccc(N=C(O)Nc3ccc(N4CCOCC4=O)cc3)cc2F)nc1N1CCOCC1,0.7184,0.6383
1,0.05,2,5,5,CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)CCN3CCOCC3)CC2)cc1,0.6766,0.5722
1,0.05,3,1,5,COc1ccc(NC(=O)CN2C(=O)COc3ccc(S(=O)(=O)N4CCOCC4)cc32)c(OC)c1,0.7962,0.5921
1,0.05,3,2,5,Cc1cc(N2CCOCC2)ncc1C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(F)cc1)CC2,0.7504,0.6
1,0.05,3,3,5,CC(C)Oc1ccc(S(=O)(=O)N2CCN(c3cc(F)c(F)c(OCC(=O)O)c3)CC2)cn1,0.7532,0.5724
1,0.05,3,4,5,CC#CCOc1ccc(S(=O)(=O)NC(CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,0.7439,0.5526
1,0.05,3,5,5,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(O)=NCCC1(O)CCOCC1,0.7453,0.6062
