Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
2,0.1,0,1,5,O=C1NC2NC(=O)N([N+](=O)[O-])C2N1,0.386,0.2553
2,0.1,0,2,5,O=C(NCCN(CCNC(=O)c1cc(S(=O)(=O)O)cc(O)c1O)CCNC(=O)c1cc(S(=O)(=O)O)cc(O)c1O)c1cc(S(=O)(=O)O)cc(O)c1O,0.448,0.5799
2,0.1,0,3,5,C=C1C(OC(=O)C=Cc2ccccc2)CC(OC(C)=O)C2(C)C1CC1CC(OC(C)=O)C3(C)OC3(C1C)C(OC(C)=O)C2OC(C)=O,0.4589,0.4913
2,0.1,0,4,5,CCCc1noc(C(C)N(CC)Cc2ccco2)n1,0.4709,0.06228
2,0.1,0,5,5,COC(=O)CNS(=O)(=O)NC(=O)OC(C)(C)C,0.447,0.3041
2,0.1,1,1,5,NCCCC(N)CC(=O)NCCCC(N)CC(=O)NC1C(NC2=NC3C(=O)NCC(O)C3N2)OC(CO)C(OC(N)=O)C1O,0.4645,0.4773
2,0.1,1,2,5,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)c5cc(NC=O)cn5C)cn4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0.5197,0.4818
2,0.1,1,3,5,O=C(O)c1cc(OS(=O)(=O)O)c(OS(=O)(=O)O)c(OS(=O)(=O)O)c1,0.512,0.4016
2,0.1,1,4,5,O=C(C=Cc1ccccc1)NNC(=O)c1ccco1,0.5877,0.2777
2,0.1,1,5,5,C=CC12CCC3C(C)(C(=O)O)CCCC3(C)C1CCC(C)(COC(=O)CCC(=O)OCC#CCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1)C2,0.5555,0.4918
2,0.1,2,1,5,O=C(O)CC12Oc3c(O)c(O)cc(C(=O)OCC4OC(OC(=O)C=Cc5ccc(O)c(O)c5)C(O)C(O)C4O)c3C1C(C(=O)O)OC2=O,0.5963,0.5489
2,0.1,2,2,5,CC(C)CC(NC(=O)C(CCCNC(N)=N[N+](=O)[O-])NC(=O)C(CCCCCCCCC#N)C1CCCC1)C(=O)C(=O)NCCNS(=O)(=O)c1ccccc1,0.5953,0.5304
2,0.1,2,3,5,COc1cc2cc(C(=O)N3CC(COS(=O)(=O)Cc4ccccc4)c4c3cc([N+](=O)[O-])c3cc(C(=O)NCCO)ccc43)[nH]c2c(OC)c1OC,0.6448,0.5821
2,0.1,2,4,5,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(Cl)c1Cl,0.5865,0.4443
2,0.1,2,5,5,CC(C)(C)OC(=O)NC1CCOCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O,0.5806,0.5433
2,0.1,3,1,5,CN(C(=O)C(Cc1ccccc1)NC(=O)c1cc2[nH]cnc2cc1C(=O)NCC12CC3CC(CC(C3)C1)C2)c1cc(C(=O)O)cc(C(=O)O)c1,0.687,0.5255
2,0.1,3,2,5,CC(=O)OCC1OC(NC(=S)NN=C2C(=O)Nc3ccc([N+](=O)[O-])cc32)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0.6654,0.4395
2,0.1,3,3,5,O=C(Cn1cccc(O)c1=O)NCCN(CCNC(=O)Cn1cccc(O)c1=O)CCNC(=O)Cn1cccc(O)c1=O,0.6687,0.6217
2,0.1,3,4,5,COCCN(CC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc2cc(OC)c(OC)cc2c1,0.6765,0.6208
2,0.1,3,5,5,CC(=O)NC1C(Oc2ccccc2[N+](=O)[O-])OC(CO)C(O)C1OC1OC(CO)C(O)C(OS(=O)(=O)O)C1O,0.6406,0.5021
2,0.1,4,1,5,CC1(C)SC2C(NC(=O)C(NC(=O)c3ccc(-c4ccc(S(=O)(=O)N(CCO)CCO)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2C1C(=O)O,0.7155,0.5868
