Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
2,0.05,0,1,5,CC(C)CC(NC(=O)CN)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NCC(=O)O)C(C)O,0.4645,0.515
2,0.05,0,2,5,CC(Cc1ccc(NS(=O)(=O)c2ccc(-c3nc(-c4ccc(C(F)(F)F)cc4)cs3)cc2)cc1)NC(C)C(O)c1ccccc1,0.4726,0.04541
2,0.05,0,3,5,CCOC(=O)N1CCN(C(=O)COC(=O)Cc2ccc(OC)cc2)CC1,0.5069,0.5834
2,0.05,0,4,5,CCCC(NC(=O)C(N)C(C)C)C(=O)NC,0.4737,0.3686
2,0.05,0,5,5,N#CC1Cc2ccccc2CN1C(=O)C(N)C1CCCCC1,0.4903,0.3082
2,0.05,1,1,5,CCC(CC)C(=O)NCCN1CCN(C(=O)C(CC)CC)CC1,0.5589,0.04705
2,0.05,1,2,5,CC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(N)=O,0.6311,0.5807
2,0.05,1,3,5,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)N1CCOCC1)C(=O)NC(C(=O)N1CCCC1COc1ccc(F)cc1)c1ccccc1,0.6251,0.6072
2,0.05,1,4,5,COC(=O)C(CC(=O)NC(CO)C(=O)O)CC(C)C,0.5678,0.4282
2,0.05,1,5,5,N#Cc1ccccc1OCC(=O)OCC(=O)N1CCCC1,0.5773,0.4447
2,0.05,2,1,5,CCOC(=O)C(NC(=O)C1CCCN1C(=O)OCc1ccccc1)C(=O)OCC,0.693,0.5652
2,0.05,2,2,5,COc1ccc(CC(NC(=O)C(C)NC(=O)CN2CCOCC2)C(=O)NC(CC2CCCCC2)C(=O)C2(C)CO2)cc1,0.6712,0.585
2,0.05,2,3,5,CC(NC(=O)C(N)CC(=O)OCc1ccc(F)cc1)C(=O)O,0.6643,0.4964
2,0.05,2,4,5,CC(C)CC(N)C(=O)N1CCCC1C(N)=O,0.6502,0.4495
2,0.05,2,5,5,CCc1[nH]c(C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(C)C)NC(=O)N2CCCCCC2)nc1C(=O)O,0.6394,0.5661
2,0.05,3,1,5,CS(=O)(=O)N1CCCC1C(=O)NC(Cc1ccc(OC(=O)N2CCCC2)cc1)C(=O)O,0.727,0.6266
2,0.05,3,2,5,CCOC(=O)C(CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)Cc1ccccc1,0.7677,0.5588
