Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
3,0.1,0,1,5,Nc1ncnc2c1ncn2CCOCP(=O)(O)OCCOCCOCCOCCOCCOCCO,0.3936,0.4773
3,0.1,0,2,5,O=C(O)c1cc(OS(=O)(=O)O)c(OS(=O)(=O)O)c(OS(=O)(=O)O)c1,0.4355,0.4016
3,0.1,0,3,5,COc1ncc(CC(C)C)nc1C,0.4209,0.002365
3,0.1,0,4,5,CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,0.4451,0.5104
3,0.1,0,5,5,O=C(O)c1c(F)c(F)c(N(CCCl)CCCl)c(F)c1F,0.4144,0.007641
3,0.1,1,1,5,O=C(OCCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0.5183,0.5536
3,0.1,1,2,5,Nc1ncnc2c1ccn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,0.5101,0.4485
3,0.1,1,3,5,CC(Cc1ccc(OCc2cn(CCO)nn2)c(OCc2cn(CCO)nn2)c1)C(C)Cc1ccc(OCc2cn(CCO)nn2)c(OCc2cn(CCO)nn2)c1,0.4913,0.6054
3,0.1,1,4,5,CC(=O)Oc1ccc(-c2oc3cc(OC(C)=O)cc(OC(C)=O)c3c(=O)c2OC2OC(C)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)cc1,0.5153,0.4241
3,0.1,1,5,5,Oc1ccc(-c2nccs2)cc1O,0.5054,0.04926
3,0.1,2,1,5,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)c1cnn(CCCCc2ccc(CCC)cc2)c1,0.5606,0.01031
