Trial,Eta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f
1,0.25,0,1,5,COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.3392,0.0
1,0.25,0,2,5,CCCCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCCCC)C(=O)CCCNCCNCCCCNCCCN,0.3519,4.998e-07
1,0.25,0,3,5,N=C(N)N[N+](=O)[O-],0.3538,0.1994
1,0.25,0,4,5,O=c1sc2c(s1)SSSSS2,0.356,3.006e-05
1,0.25,0,5,5,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,0.3494,0.001055
1,0.25,1,1,5,N#CCNCC#N,0.34,0.02962
1,0.25,1,2,5,S=C(S)[N-]C[N-]C(=S)S,0.3435,0.000235
1,0.25,1,3,5,Nc1nc[nH]n1,0.3629,0.06003
1,0.25,1,4,5,CCC=CCC=CCC=CCC=CCC=CC=CC(CCC(=O)OC)OC,0.3832,0.001898
1,0.25,1,5,5,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC2C(O)C(COP(=O)(O)O)OC2n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,0.3977,0.4525
1,0.25,2,1,5,O=P(Cl)(Cl)Cl,0.3395,0.0
1,0.25,2,2,5,[O-][n+]1onc2c1-c1nonc1CC2,0.3775,0.2881
1,0.25,2,3,5,CC(O)(C(O)CO[PH](O)(O)O)C(O)C(O)C(=O)O,0.391,0.4018
1,0.25,2,4,5,Cn1c(=O)c2c(nc(NCCNc3nc4c(c(=O)n(C)c(=O)n4C)n3C)n2C)n(C)c1=O,0.4469,0.382
1,0.25,2,5,5,COc1ccc(CCNCCOC2C(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)OC(CO)C2OC2OC(CN)C(O)C(O)C2N)cc1,0.4177,0.4482
1,0.25,3,1,5,O=S(=O)(O)NS(=O)(=O)O,0.3828,0.1366
1,0.25,3,2,5,C#CCOc1nc(OCC#C)nc(OCC#C)n1,0.4187,0.1006
1,0.25,3,3,5,COC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(O)C1O,0.4978,0.4792
1,0.25,3,4,5,CC(=O)NC(C(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(N)=O)C(C)O)C(C)O,0.4965,0.5319
1,0.25,3,5,5,CC1COCCN1C(=O)NCCn1ccnc1,0.4385,0.09594
1,0.25,4,1,5,[O-][Cl+]O,0.34,0.0
1,0.25,4,2,5,O=c1[nH]c(=O)c2[nH]c(=O)n(CC(O)C(O)C(O)CO)c2[nH]1,0.4883,0.411
