round,pick_idx,smiles,mu,std,UCB,True f
0,1,O=C(NCCCO)Nc1ccc2ncc(-c3ccccc3)nc2n1,0.25559890270233154,0.9208042025566101,0.9067057967185974,0.408248290463863
0,2,COc1ccc(-c2cccc(OC(F)(F)F)c2)cc1C(CC(=O)O)c1ncc(C)s1,0.24639374017715454,0.9294223189353943,0.9035945534706116,0.409735538706166
0,3,O=C(O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1)N2,0.2409418225288391,0.9289812445640564,0.8978307247161865,0.1495642614516327
0,4,COCCNC(=O)CCN1C(=O)c2cccnc2Oc2ccc(C)cc21,0.22773011028766632,0.9407108426094055,0.8929131031036377,0.4666282626286914
0,5,O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1cccnc1,0.236434668302536,0.9388887882232666,0.9003292322158813,0.13057608672153667
1,1,COCCNC(=O)CN1C(=O)c2cccnc2Sc2ccccc21,0.31757256388664246,0.8866269588470459,0.9445124864578247,0.4654746681256314
1,2,COc1cc(NC(C)CCCNC(=O)Nc2cccc(F)c2)c2ncccc2c1,0.28624626994132996,0.913915753364563,0.9324822425842285,0.42008402520840293
1,3,COCCN(CCOC)C(=O)c1sc2nc(-c3ccccc3)cn2c1C,0.26856279373168945,0.9299802184104919,0.9261581301689148,0.4979295977319692
1,4,CCCc1cc(C(=O)NC(Cc2ccc(-c3cccc(OC(F)(F)F)c3)nc2)C(=O)NCCN(C)C)sc1C,0.2775181829929352,0.908160388469696,0.9196845293045044,0.43115824925128815
1,5,COc1ccc(OCCCC(=O)O)cc1Cc1cnc(N)nc1N,0.23826274275779724,0.9424942135810852,0.9047068357467651,0.16861726540471972
2,1,COCCNC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O,0.3714785873889923,0.8677635192871094,0.9850800037384033,0.4597631061983315
2,2,Cc1cccc(C(C(=O)NCCCc2ccccn2)N(C)C)c1,0.32487744092941284,0.9072353839874268,0.9663897156715393,0.1575165660918844
2,3,COCCNC(=O)Nc1ccc2nc(C)sc2c1,0.3082793056964874,0.9159026741981506,0.9559203386306763,0.15831010545212082
2,4,CCN(CC)C(=O)C1Sc2ccccc2-c2c1c1cc(OC(F)(F)F)ccc1n2CCF,0.2877558171749115,0.919857382774353,0.9381932020187378,0.16570857802364083
2,5,CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc4cccnc34)CC2)c1C,0.3111216425895691,0.9130971431732178,0.9567788243293762,0.007571386406063486
3,1,COCCNC(=O)Cn1nc(-c2ccccc2F)ccc1=O,0.3623163104057312,0.8453555107116699,0.960072934627533,0.17227533248688767
3,2,COc1cc(NC(=O)CN2C(=O)C(c3ccccc3)=NC2(C)C)cc(OC)c1,0.3031633496284485,0.9051376581192017,0.9431923031806946,0.4592793267718459
3,3,COCCN(C(=O)CCc1ccccc1OC)c1nnc(-c2cccnc2)s1,0.29844292998313904,0.9042957425117493,0.9378765821456909,0.46409548089225716
3,4,Nc1nc(-c2cccc(OC(F)(F)F)c2)cc(=O)[nH]1,0.2643852233886719,0.9085290431976318,0.9068122506141663,0.13842874694370869
3,5,COC(=O)C(CO)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)c1coc(-c2ccccc2)n1,0.27653124928474426,0.9129753112792969,0.9221022129058838,0.4214636152117623
4,1,COCCNC(=O)CN(C(=O)CCC(=O)Nc1ccccn1)c1ccccc1OC,0.34431540966033936,0.8820495009422302,0.9680185914039612,0.17178241207034267
4,2,CNC(=O)CCc1c(-c2ccccc2)nc2ccc(OC)cn12,0.35209178924560547,0.8682861328125,0.9660627841949463,0.4490887131390719
4,3,COCCOCc1ncccc1C1C(C(=O)C(C)(C)C)C(=O)C(=O)N1c1ccc(-c2ccsc2)cc1,0.27868887782096863,0.925356388092041,0.9330146312713623,0.1755005520535225
4,4,COc1cc(CC(CC(=O)O)CC(C)OCc2ccccc2)cc(OC)c1,0.31176215410232544,0.8998612761497498,0.948060154914856,0.1779072614037312
4,5,CC#CCOC(=O)NCc1cc(-c2sc(-c3cccnc3)nc2COC)n[nH]1,0.2594812214374542,0.9265586733818054,0.9146571159362793,0.44381268229929727
5,1,COCCN(C)c1ccc(NC(=O)c2cc(-c3ccccc3)c(C(F)(F)F)s2)cn1,0.3528488874435425,0.8690311908721924,0.967346727848053,0.43885372573625553
5,2,COc1ccccc1NC(=O)CSc1n[nH]c(-c2cccnc2)n1,0.3301416039466858,0.8830834627151489,0.9545758962631226,0.4306783846070545
5,3,CCOC(=O)c1c(CC)nc(-c2ccccc2)c(C(=O)OCC)c1C,0.3140189051628113,0.8970929980278015,0.9483594298362732,0.21821542115005774
5,4,COc1cc(OC)cc(-c2nc3nc(C)c(CCC(=O)NCc4ccco4)c(C)n3n2)c1,0.26935920119285583,0.9194210171699524,0.9194880723953247,0.15381812166274608
5,5,O=C(CCN1c2ccccc2Sc2ccccc21)NC(CO)C(=O)O,0.2809598445892334,0.9009907841682434,0.9180565476417542,0.4289522117905443
6,1,CCCc1sc(-c2ccccc2)nc1OC(=O)Nc1ccccc1,0.36317503452301025,0.863646388053894,0.973865270614624,0.4306783846070545
6,2,COc1ccccc1C=C1SC(=S)N(CCC(=O)Nc2cccnc2)C1=O,0.351211816072464,0.8779663443565369,0.9720277786254883,0.4402254531628119
6,3,CN(C)CCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)cc12,0.3267616629600525,0.8899955153465271,0.9560835361480713,0.4377975178854566
6,4,COCCn1cc(-c2c(C)nc3c(-c4cccnc4)nccn23)cn1,0.27904871106147766,0.9210159778594971,0.9303053617477417,0.14429418839867642
6,5,CNc1nccc(-c2ccc(C(=O)NC(Cc3ccc(Cl)cc3Cl)C(=O)OC)s2)n1,0.25885263085365295,0.9231985807418823,0.9116525650024414,0.44887920124843483
7,1,COc1ccccc1C(=O)Nc1nnc(-c2ccccc2)s1,0.3926889896392822,0.8450274467468262,0.9902136325836182,0.4183300132670378
7,2,COC(=O)CCC(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0.338611364364624,0.8868963122367859,0.965741753578186,0.5279095799378564
7,3,CNc1cc(-c2cc(NC(=O)C(Cc3ccccc3)NCc3cncs3)n(C)n2)ccn1,0.3128097653388977,0.9022451639175415,0.950793445110321,0.14551600689103186
7,4,COCCN(Cc1ccc(F)cc1Cl)C(=O)c1ccc(=O)[nH]n1,0.2813500165939331,0.9146050214767456,0.9280734062194824,0.1749215318277693
7,5,O=C(Cc1cccnc1)Nc1ccc2sc(C(=O)NO)cc2c1,0.30221933126449585,0.9066454768180847,0.9433144927024841,0.39144068062940635
8,1,COc1ccc(Cl)cc1NC(=O)Cn1nnc2sc(-c3ccccc3)cc2c1=O,0.38809090852737427,0.8617295622825623,0.9974257349967957,0.16204655135825616
8,2,COC(=O)CNC(=O)c1c(NO)cc(-c2ccccc2)oc1=O,0.3564501404762268,0.882996678352356,0.9808230400085449,0.1749215318277693
8,3,O=C(O)Cc1nc(-c2cccnc2)sc1-c1ccc(Br)cc1,0.3340911567211151,0.87213534116745,0.9507839679718018,0.3717679143145911
8,4,CSCCC(NC(=O)CN1C(=O)C(N(C)C(=O)C(N)CS)N=C(c2ccccc2)c2ccccc21)C(=O)O,0.33572301268577576,0.8871574997901917,0.9630380868911743,0.4353647708073435
8,5,COc1ncccc1C(C)c1c(CCN(C)C)sc2ccccc12,0.2955726683139801,0.9086673259735107,0.9380974769592285,0.4341941848573452
9,1,COc1ncc(C(=O)NC(CC(=O)O)c2ccccc2C)cc1-c1ccccc1,0.3734017312526703,0.8484251499176025,0.9733289480209351,0.4623207306786785
9,2,O=C(CSc1nnc(-c2cccnc2)s1)Nc1ccccc1,0.38272562623023987,0.8310585021972656,0.9703726768493652,0.3810003810005715
9,3,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,0.3293931782245636,0.8901821970939636,0.9588470458984375,0.4597631061983315
9,4,CN(C)CCC(=O)N1c2ccccc2Sc2ccc(Cl)cc21,0.3148038685321808,0.8815873265266418,0.9381802082061768,0.4568321925761286
9,5,CC(C)N1C(=O)C(NC(=O)C(Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2cccnc21,0.2787821590900421,0.9114697575569153,0.9232885837554932,0.4250237185032414
10,1,NC(CCC(=O)Nc1ccccc1-c1nc2ccccc2s1)C(=O)O,0.3607752323150635,0.8768144845962524,0.9807766675949097,0.43994134506405985
10,2,COC(=O)C(Cc1c[nH]c(-c2ccccc2)n1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C,0.36037856340408325,0.8718461394309998,0.9768668413162231,0.16715318575161406
10,3,Cc1nc(-c2ccccc2)cn1-c1ccc(C(=O)NC2CC2)s1,0.3564146161079407,0.8689964413642883,0.9708878993988037,0.15262836435702962
10,4,COc1ccc(C2=NOC(C(=O)Nc3cccnc3)C2)cc1OC,0.31527453660964966,0.8905834555625916,0.9450121521949768,0.40987803063838396
10,5,COc1cccc(N2C(=O)Nc3ccc(Br)cc3C2(O)C(=O)NCCN(C)C)c1,0.2936648428440094,0.9061752557754517,0.9344274997711182,0.44550340340198086
11,1,COC(=O)CCC(=O)Nc1cccc(OCc2nc3ccccc3o2)c1,0.36277300119400024,0.8665109276771545,0.9754887223243713,0.49588470368046467
11,2,CN(C)CCc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2,0.34600672125816345,0.8695559501647949,0.9608756303787231,0.14429418839867642
11,3,COc1ccccc1Oc1ncccc1CNC(=O)C(N)C(C)O,0.33856359124183655,0.8807048201560974,0.9613159894943237,0.16452068759679597
11,4,COCc1nc(-c2ccc(Cl)cc2)sc1C(=O)N(C)C,0.3079162538051605,0.8978582620620728,0.9427978992462158,0.16898812494086196
11,5,COc1ccc2cc(NC(=O)CCNc3ncccn3)cnc2c1,0.32679200172424316,0.891169548034668,0.9569440484046936,0.3968378950662725
12,1,COC(=O)CCC(=O)Nc1cccc(-c2nnc(-c3ccc(C)cc3)o2)c1,0.3861779272556305,0.8483811020851135,0.9860739707946777,0.461083967620704
12,2,COc1ccc(NC(=O)CCc2nc3ccccc3s2)c(OC)c1,0.3874701261520386,0.840007483959198,0.9814451336860657,0.4654746681256314
12,3,CSCCC(NC(=O)c1ccc(CS(=O)(=O)c2cccnc2)cc1-c1ccccc1)C(=O)O,0.3555873930454254,0.8513348698616028,0.9575719833374023,0.41522739926869984
12,4,O=C(COC(=O)c1cccnc1O)NCCc1ccc(Cl)cc1Cl,0.3184979557991028,0.8908703327178955,0.9484384059906006,0.17672356721289065
12,5,COc1cccc(NC(=O)NC2CCc3ccccc3N(CC(=O)O)C2=O)c1,0.3587322235107422,0.8714902400970459,0.9749688506126404,0.447213595499958
13,1,COc1cccc(NC(=O)CN(C)C(=O)Cn2cnc3ccccc3c2=O)c1,0.3985045254230499,0.8388321399688721,0.9916484355926514,0.457495710997814
