round,pick_idx,smiles,mu,std,UCB,True f,min_d_batch,min_d_hist
0,1,Cc1ccc(C(C)NC(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1C,0.41092535853385925,0.8645308613777161,1.275456190109253,0.40006489407336004,1.0,0.5563909774436091
0,2,Cc1ncc([N+](=O)[O-])n1CCOc1ccc(C=NNC(=O)c2cc(O)cc(O)c2)cc1,0.3404160141944885,0.9116697907447815,1.25208580493927,0.5344969955769574,0.8313953488372093,0.6797385620915033
0,3,CC(NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)ccc2-c2nnn(C)n2)cc1F,0.30652281641960144,0.9257324934005737,1.2322553396224976,0.525907178865859,0.8314606741573034,0.6666666666666667
0,4,O=C(OCC(=O)N1CCOCC1)c1ccc2ccccc2c1O,0.3183976113796234,0.9123647809028625,1.2307623624801636,0.47618244636307294,0.8278145695364238,0.6433566433566433
0,5,CCc1c2c(nc3ccc(OCc4cn(CCCC(=O)NO)nn4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0.274282842874527,0.9515736699104309,1.2258565425872803,0.5988475185161256,0.8490566037735849,0.7688442211055276
1,1,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C=NNC(=O)C(N)CC(C)C,0.41318345069885254,0.8798233866691589,1.2930068969726562,0.5834729320149841,1.0,0.595
1,2,Cc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2-c2cn(CCCC(=O)NC3CCCCC3)nn2)cc1,0.3588164448738098,0.9334028363227844,1.2922192811965942,0.47401215751790843,0.8614718614718615,0.7811158798283262
1,3,O=C(Cn1cc(COc2ccc(Cl)c(Cl)c2)nn1)NS(=O)(=O)c1ccccc1C(F)(F)F,0.3621041774749756,0.9220376014709473,1.2841417789459229,0.5167217649350516,0.8373205741626795,0.7560975609756098
1,4,CCOC(=O)c1cn(CC(O)Cn2c([N+](=O)[O-])cnc2C)c2ccc(F)cc2c1=O,0.35402965545654297,0.9238550066947937,1.2778847217559814,0.549476230189851,0.845771144278607,0.7272727272727273
1,5,CC(C)c1ccc(C=NNC(=O)c2nnn(-c3nonc3N)c2CN2CCOCC2)cc1,0.32555854320526123,0.941312849521637,1.266871452331543,0.5648727835616233,0.8373205741626795,0.7923497267759563
