,AUC,AUC,FinalTopK,FinalTopK,NumEvals
,mean,std,mean,std,first
Eta,,,,,
0.05,0.6604616996388889,0.0023098836848866595,0.70012,0.008451295758639626,200
0.1,0.6325270954333334,0.01823732185427735,0.6755599999999999,0.01475489071460713,200
0.25,0.6055680044123389,0.010374024305823551,0.6959666666666667,0.016297488559079677,200
0.5,0.562150201622675,0.010655620412645136,0.6791733333333333,0.0018527097272194339,200
