method,budget,T_total_mean,AUC_TopK_fullrun_mean,best_so_far@B_mean,Top1@B_mean,Top5@B_mean
BUCB,50,200.0,0.6480174247642608,0.67007525827389,0.67007525827389,0.6473677968494863
BUCB+MI,50,200.0,0.620198202921758,0.6367514114996982,0.6367514114996982,0.6182128171951982
BUCB,100,200.0,0.6480174247642608,0.6807345664736113,0.6807345664736113,0.6647463891907363
BUCB+MI,100,200.0,0.620198202921758,0.6392259765779117,0.6392259765779117,0.6339978400754449
BUCB,200,200.0,0.6480174247642608,0.6961018612350028,0.6961018612350028,0.6804730040283514
BUCB+MI,200,200.0,0.620198202921758,0.7008502165039346,0.7008502165039346,0.6658344618227124
