Molecule_index,Round,Top5_running_mean
1,0.0,0.6948728110311593
2,0.2,0.6622641048223887
3,0.4,0.6441067132707748
4,0.6000000000000001,0.6302577941834943
5,0.8,0.6189353339082679
6,1.0,0.628943824103299
7,1.2000000000000002,0.6390213803260391
8,1.4000000000000001,0.6390213803260391
9,1.6,0.6390213803260391
10,1.8,0.6390213803260391
11,2.0,0.6390213803260391
12,2.2,0.6390213803260391
13,2.4000000000000004,0.6469967787025429
14,2.6,0.6469967787025429
15,2.8000000000000003,0.6469967787025429
16,3.0,0.6469967787025429
17,3.2,0.6498667542392196
18,3.4000000000000004,0.6498667542392196
19,3.6,0.650464143869918
20,3.8000000000000003,0.650464143869918
21,4.0,0.650464143869918
22,4.2,0.650464143869918
23,4.4,0.650464143869918
24,4.6000000000000005,0.650464143869918
25,4.800000000000001,0.650464143869918
26,5.0,0.650464143869918
27,5.2,0.650464143869918
28,5.4,0.650464143869918
29,5.6000000000000005,0.650464143869918
30,5.800000000000001,0.650464143869918
31,6.0,0.6543445544980091
32,6.2,0.6543445544980091
33,6.4,0.6543445544980091
34,6.6000000000000005,0.6543445544980091
35,6.800000000000001,0.6543445544980091
36,7.0,0.6543445544980091
37,7.2,0.6545364894272099
38,7.4,0.6545364894272099
39,7.6000000000000005,0.6545364894272099
40,7.800000000000001,0.6545364894272099
41,8.0,0.6545364894272099
42,8.200000000000001,0.6545364894272099
43,8.4,0.6545364894272099
44,8.6,0.6545364894272099
45,8.8,0.6545364894272099
46,9.0,0.6545364894272099
47,9.200000000000001,0.6545364894272099
48,9.4,0.6545364894272099
49,9.600000000000001,0.6545364894272099
50,9.8,0.6545364894272099
51,10.0,0.6545364894272099
52,10.200000000000001,0.6545364894272099
53,10.4,0.6545364894272099
54,10.600000000000001,0.6545364894272099
55,10.8,0.6545364894272099
56,11.0,0.6545364894272099
57,11.200000000000001,0.6545364894272099
58,11.4,0.6590608789936632
59,11.600000000000001,0.6590608789936632
60,11.8,0.6590608789936632
61,12.0,0.6631092123946057
62,12.200000000000001,0.6631092123946057
63,12.4,0.6631092123946057
64,12.600000000000001,0.6631092123946057
65,12.8,0.6631092123946057
66,13.0,0.666943338050246
67,13.200000000000001,0.666943338050246
68,13.4,0.666943338050246
69,13.600000000000001,0.666943338050246
70,13.8,0.666943338050246
71,14.0,0.666943338050246
72,14.200000000000001,0.666943338050246
73,14.4,0.666943338050246
74,14.600000000000001,0.666943338050246
75,14.8,0.666943338050246
76,15.0,0.666943338050246
77,15.200000000000001,0.666943338050246
78,15.4,0.6699148557664877
79,15.600000000000001,0.6699148557664877
80,15.8,0.6699148557664877
81,16.0,0.6699148557664877
82,16.2,0.6699148557664877
83,16.400000000000002,0.6699148557664877
84,16.6,0.6699148557664877
85,16.8,0.6699148557664877
86,17.0,0.678266699471256
87,17.2,0.678266699471256
88,17.400000000000002,0.678266699471256
89,17.6,0.678266699471256
90,17.8,0.678266699471256
91,18.0,0.6794474432567604
92,18.2,0.6794474432567604
93,18.400000000000002,0.6794474432567604
94,18.6,0.6794474432567604
95,18.8,0.6794474432567604
96,19.0,0.6794474432567604
97,19.200000000000003,0.6798786890956493
98,19.400000000000002,0.6798786890956493
99,19.6,0.6798786890956493
100,19.8,0.6798786890956493
