Molecule_index,Round,Top5_running_mean
1,0.0,0.333862892521338
2,0.2,0.4547886901374427
3,0.4,0.4397978011924823
4,0.6000000000000001,0.43644572689580907
5,0.8,0.4440639277272676
6,1.0,0.45497001666676995
7,1.2000000000000002,0.49287156857715136
8,1.4000000000000001,0.5241841767565433
9,1.6,0.5566352461512681
10,1.8,0.5803925196520153
11,2.0,0.5803925196520153
12,2.2,0.5841996938265551
13,2.4000000000000004,0.5841996938265551
14,2.6,0.5841996938265551
15,2.8000000000000003,0.5841996938265551
16,3.0,0.5841996938265551
17,3.2,0.5846839612969604
18,3.4000000000000004,0.5846839612969604
19,3.6,0.5928001760951378
20,3.8000000000000003,0.593695661406394
21,4.0,0.593695661406394
22,4.2,0.608083815145642
23,4.4,0.6135224027229629
24,4.6000000000000005,0.6135224027229629
25,4.800000000000001,0.6135224027229629
26,5.0,0.6135224027229629
27,5.2,0.6145825930050584
28,5.4,0.6149587804243388
29,5.6000000000000005,0.6158316703486674
30,5.800000000000001,0.6221852740944722
31,6.0,0.6233046601055483
32,6.2,0.6233046601055483
33,6.4,0.6233046601055483
34,6.6000000000000005,0.6233046601055483
35,6.800000000000001,0.6233046601055483
36,7.0,0.6349724395313656
37,7.2,0.6349724395313656
38,7.4,0.6349724395313656
39,7.6000000000000005,0.6456434026736705
40,7.800000000000001,0.6456434026736705
41,8.0,0.6457383922934469
42,8.200000000000001,0.6457383922934469
43,8.4,0.6457383922934469
44,8.6,0.6457383922934469
45,8.8,0.6464772068041349
46,9.0,0.6464772068041349
47,9.200000000000001,0.6464772068041349
48,9.4,0.6517858458645458
49,9.600000000000001,0.6517858458645458
50,9.8,0.6517858458645458
51,10.0,0.6518995706559034
52,10.200000000000001,0.6518995706559034
53,10.4,0.6518995706559034
54,10.600000000000001,0.6557903695990313
55,10.8,0.6557903695990313
56,11.0,0.6557903695990313
57,11.200000000000001,0.6557903695990313
58,11.4,0.6557903695990313
59,11.600000000000001,0.6557903695990313
60,11.8,0.6557903695990313
61,12.0,0.6557903695990313
62,12.200000000000001,0.6557903695990313
63,12.4,0.6557903695990313
64,12.600000000000001,0.6557903695990313
65,12.8,0.6557903695990313
66,13.0,0.6557903695990313
67,13.200000000000001,0.6698736690654974
68,13.4,0.6698736690654974
69,13.600000000000001,0.6739006305620127
70,13.8,0.6739006305620127
71,14.0,0.6739006305620127
72,14.200000000000001,0.6739006305620127
73,14.4,0.6739006305620127
74,14.600000000000001,0.6754780209121379
75,14.8,0.6771367621676841
76,15.0,0.6771367621676841
77,15.200000000000001,0.6771367621676841
78,15.4,0.6771367621676841
79,15.600000000000001,0.6771367621676841
80,15.8,0.6771367621676841
81,16.0,0.6771367621676841
82,16.2,0.6771367621676841
83,16.400000000000002,0.6771367621676841
84,16.6,0.6771367621676841
85,16.8,0.6771367621676841
86,17.0,0.6771367621676841
87,17.2,0.6771367621676841
88,17.400000000000002,0.6771367621676841
89,17.6,0.6771367621676841
90,17.8,0.6771367621676841
91,18.0,0.6771367621676841
92,18.2,0.6771367621676841
93,18.400000000000002,0.6771367621676841
94,18.6,0.6771367621676841
95,18.8,0.6771367621676841
96,19.0,0.6771367621676841
97,19.200000000000003,0.6771367621676841
98,19.400000000000002,0.6771367621676841
99,19.6,0.6771367621676841
100,19.8,0.6771367621676841
