round,pick_idx,smiles,mu,std,UCB,True f,min_d_batch,min_d_hist
0,1,Cc1c(NC(=O)CN2C(=O)NC(C)(c3ccc(OC(F)F)cc3)C2=O)c(=O)n(-c2ccccc2)n1C,0.28485801815986633,0.9051734209060669,1.1900314092636108,0.541792012806539,1.0,0.6369047619047619
0,2,COc1ccc(COc2ccc3c(c2)C2(NC(=N)N(C)C2=O)C2(CCC(OC)CC2)C3)cc1,0.28755614161491394,0.8845112919807434,1.172067403793335,0.5944226029223133,0.8190954773869347,0.572289156626506
0,3,COc1cc(OC)cc(C(=O)NC2C(Cn3cnc4c(N)ncnc43)OC(CNC(=O)C(c3ccccc3)c3ccccc3)C2O)c1,0.22037428617477417,0.9404723644256592,1.1608467102050781,0.6082642798734501,0.8406374501992032,0.7477477477477478
0,4,Cc1ccc(N(CN2C(=O)NC(C)(C)C2=O)CN2C(=O)NC(C)(C)C2=O)cc1,0.20590966939926147,0.9536818861961365,1.159591555595398,0.4567448802878385,0.791907514450867,0.7435897435897436
0,5,NC(CC(=O)NC1(c2cccc(-c3cncs3)c2)CCS(=O)(=O)CC1)Cc1cc(F)c(F)cc1F,0.18421417474746704,0.9526085257530212,1.1368227005004883,0.6339477230226649,0.8537735849056604,0.775
1,1,COc1ccc(C(NC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)c2ccc(OC)cc2)cc1,0.37822601199150085,0.9060319066047668,1.2842578887939453,0.6517967140363192,1.0,0.7164948453608248
1,2,Cc1sc(C2(NC(=O)CC(N)Cc3ccccc3F)CCS(=O)(=O)CC2)nc1-c1ccccc1,0.38789665699005127,0.8819161057472229,1.269812822341919,0.6390877655516409,0.8238095238095238,0.5906432748538012
1,3,COc1cc(CN2CC3CN(C(=O)CC(N)Cc4cc(F)c(F)cc4F)CCN3C2=O)cc(OC)c1,0.3373415768146515,0.9255068898200989,1.2628484964370728,0.6276178230365995,0.8388625592417062,0.7083333333333333
1,4,CNC(=O)C1OC(n2cnc3c(Nc4ccc(CCNC(=O)c5ccc6c(c5)C(C)(C)N([O])C6(C)C)cc4)ncnc32)C(O)C1O,0.2882336676120758,0.9498961567878723,1.2381298542022705,0.6111550517398974,0.8622047244094488,0.7785977859778598
1,5,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1OCCCCN1C(=O)NC(C)(c2ccc(N(C)C)cc2)C1=O,0.30693647265434265,0.9338546991348267,1.2407912015914917,0.37924540670723206,0.8392857142857143,0.743455497382199
