BO Iteration,Selected SMILES,UCB,True f
0,CCCCCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)c2cc(OCC3CCN(C)CC3)nc(-c3ccccc3)n2)CC1,0.466,0.624
1,CCCCCCCCCCOc1ccc(C(=O)c2cccc(C(=O)OCC)c2)cc1CC(=O)OCC,0.4208,0.1569
2,NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)CCc1ccc(-c2ccccc2)cc1,0.3876,0.6545
3,CCC(C)C(NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)NC(C(=O)NC(CCC(N)=O)C(=O)O)C(C)C,0.4489,0.5873
4,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)NC(CC(=O)O)C(=O)CSc1nc(-c2ccccc2)no1,0.4632,0.5795
5,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)NC(CC(=O)O)C(=O)COc1ccc(C(N)=O)cc1,0.5511,0.5868
6,O=C(O)CC(NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)CF,0.489,0.5768
7,COC(=O)C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,0.5316,0.5595
8,CCC(=O)NCC(C=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,0.5553,0.5754
9,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(C=O)CNC(=O)c1ccccc1,0.5697,0.6027
10,N=C(N)NCCCC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(N)=O,0.5728,0.5889
11,NCCCCC(NC(=O)C(Cc1ccc(-c2cccc(N)c2)cc1)NC(=O)OCc1ccccc1)C(N)=O,0.5778,0.6284
12,N#CCOC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.5871,0.5849
13,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccncc1,0.5821,0.5411
14,CCCC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN)C(N)=O,0.5807,0.611
15,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)NCNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.5976,0.5809
16,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.6131,0.5671
17,CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O,0.6112,0.5582
18,CSCCC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(C)C(N)=O,0.6043,0.5763
19,CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)COC(=O)c1c(C)cccc1C,0.6026,0.6194
20,CC(NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CN)C(C)C)C(=O)NC(CCC(=O)O)C(=O)O,0.6065,0.5636
21,CC(C)C(NC(=O)C(S)Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.5968,0.5552
22,CC(C)CC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.5975,0.6072
23,N=C(N)NCCCC(NC(=O)c1c(Cl)cccc1Cl)C(=O)NC(Cc1ccccc1)C(N)=O,0.5964,0.5818
24,N=C(N)c1cccc(CC(NC(=O)CCc2ccccc2)C(=O)NC(CCCCN)C(=O)NC(C(N)=O)c2ccccc2)c1,0.5954,0.6361
25,CC(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.6037,0.5798
26,CC(C)CC(NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)c1ccncc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.6066,0.588
27,N=C(N)NCCCC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)N1CCCCC1,0.6127,0.6218
28,CC(C)(C)OC(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)N1CCCCC1,0.6328,0.6237
29,NC(=O)CCC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CCc1ccccc1)C(=O)NC1CCCCC1,0.6122,0.6079
30,CC(=O)NC(=Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(N)=O,0.6066,0.5816
31,NCCCCC(NC(=O)OCc1ccccc1)C(=O)NCCCCC(NC(=O)C(CCCCN)NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(N)=O,0.6063,0.5914
32,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)Nc1ccc(C(F)(F)F)cc1,0.6043,0.2548
33,CCCC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,0.602,0.6179
34,NCCCCC(NC(=O)C(CO)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)O,0.6136,0.5864
35,NC(=NCCCC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(=O)NCCNS(=O)(=O)c1ccccc1)N[N+](=O)[O-],0.5995,0.6044
36,CC(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.5985,0.5713
37,CC(C)C(CC(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(N)CCCN=C(N)N)C(=O)NC(Cc1ccccc1)C(N)=O,0.6014,0.5445
38,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCN(C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(C)=O)C(CCCN=C(N)N)C1=O,0.5978,0.6425
39,CNC(=O)C(Cc1ccc2ccccc2c1)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(C)=O,0.6281,0.5845
40,CNC(=O)C(Cc1ccc2ccccc2c1)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C1Cc2ccccc2CN1,0.6207,0.6183
41,N=C(N)NCCCC(NC(=O)C(Cc1cccc(-c2ccccc2)c1)NC(=O)C(Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,0.6009,0.601
42,CC(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)O,0.5994,0.5337
43,O=C(NC(CCS)C(=O)NC(Cc1ccccc1)C(=O)O)c1ccno1,0.5993,0.5491
44,CC(C)CC(NC(=O)CN(C)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C1CC(=O)CN1)C(=O)NC(CCS)C(N)=O,0.6,0.5762
45,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1)C(=O)NC(CC1CCCCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)O,0.598,0.578
46,NC(Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1CNC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,0.5962,0.6583
47,NC(Cc1ccc(C(=O)NCCc2ccc(-c3ccccc3)cc2)cc1)C(=O)N1Cc2ccccc2CC1CNC(CC1CCCCC1)C(=O)NC(Cc1ccccc1)C(=O)O,0.6481,0.1649
48,COc1ccc(OC)c(C(=O)CCC(=O)NC(Cc2ccccc2)C(=O)C(N)=O)c1,0.5929,0.5788
49,CCOP(=O)(O)NC(C(=O)NC(Cc1ccc(OCC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1)C(=O)NCC(=O)O)C(C)CC,0.5894,0.6131
50,CC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCC[N+](C)(C)C)C(=O)NC(CO)C(N)=O)C(C)C,0.5874,0.5047
51,N=C(N)c1ccc(C2(Cc3ccccc3)NC(=O)N(CC(=O)NC(CC(=O)O)C(=O)NC(C(=O)O)c3ccccc3)C2=O)cc1,0.581,0.6396
52,NC(=O)NCCCC(NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O,0.5924,0.6644
53,O=C(O)CC(NC(=O)OCc1ccccc1)C(=O)COC(=O)CC(c1ccccc1)c1ccccn1,0.6098,0.6448
54,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CC(NC(=O)c1ccc(C#N)cc1)c1ccccc1)C(=O)C1(C)CO1,0.5916,0.6223
55,O=C(CCCCCCC(=O)NC(Cc1ccccc1)C(=O)O)NO,0.5915,0.6391
56,NC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,0.6081,0.4986
57,CC(NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccccc1,0.5955,0.6166
58,CNC(=O)c1[nH]cnc1C(=O)NC(Cc1ccccc1)C(=O)OCc1ccccc1,0.5996,0.5369
59,CC(=O)NC(CCCN(Cc1ccccc1)C(=O)N(CCCl)N=O)C(=O)NCc1ccccc1,0.5975,0.6322
60,CCOC(=O)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.5985,0.4821
61,CCCCC(NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)c1ccc(C=C2SC(=O)N(Cc3ccccc3)C2=O)cc1)C(N)=O,0.5922,0.591
62,CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CCCC1C(=O)NC(COCc1ccccc1)COC(N)=O,0.5923,0.6259
63,NC(=O)CC1Cc2ccccc2CN1C(=O)CC(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1,0.5983,0.6764
64,NC1CC1c1ccc(OCCC(NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1,0.5994,0.6203
65,CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCC(=O)NCc1ccccc1,0.5977,0.5457
66,COc1cccc(CNCC(O)C(Cc2ccccc2)NC(=O)CCCS(=O)(=O)c2ccccc2)c1,0.5949,0.6876
67,Cc1cccc(-c2ncc(N)c(=O)n2CC(=O)NC(Cc2ccccc2)C(=O)C(F)(F)C(=O)NCc2ccccc2)c1,0.6043,0.5747
68,CC(=O)OCC(Cc1ccccc1)NC(=O)C(N)Cc1ccccc1,0.6031,0.5086
69,CC(=O)c1ccc(S(=O)(=O)NCCC(=O)OCC(=O)NCCc2ccccc2)cc1,0.5983,0.5791
70,CN1CCN(C(=O)NC(Cc2cccnc2)C(=O)NC(C=CS(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,0.5998,0.666
71,CC(CCc1ccccc1)NC(=O)CCNS(=O)(=O)c1ccccc1,0.6118,0.4111
