Trial,Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
2,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,2.319,0.5,0.8357,0.0389,0.2972,0.6332,-17.899,3.994
2,1,C#CCO,0.0,1.989,0.4268,0.8356,0.0389,0.2829,0.6332,-17.872,3.868
2,2,ClC(Br)Br,0.0,1.855,0.3943,0.8356,0.0389,0.2827,0.6331,-17.906,3.872
2,3,CCCCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCCCC)CCCN(CCO)CCO,1.097e-07,1.711,0.375,0.8356,0.0389,0.2827,0.633,-17.913,3.656
2,4,C=CCSSCC=C,2.996e-07,1.604,0.3618,0.8344,0.039,0.2806,0.6328,-17.832,3.5
2,5,S=C(S)[N-]C[N-]C(=S)S,0.000235,1.567,0.3521,0.8344,0.0389,0.2805,0.6327,-17.845,3.503
2,6,C[P+](C)(C)C,1.908e-07,1.536,0.3445,0.8344,0.0389,0.2805,0.6326,-17.85,3.504
2,7,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.0,1.508,0.3384,0.8344,0.0389,0.2803,0.6326,-17.88,3.511
2,8,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(N)=O,0.008447,1.447,0.3333,0.8344,0.0389,0.2803,0.6327,-17.882,3.298
2,9,S=C1NCCN1,0.0001245,1.42,0.3291,0.8342,0.0392,0.2394,0.6324,-17.733,3.276
2,10,NS(N)(=O)=O,0.0,1.403,0.3254,0.8341,0.0391,0.2394,0.6323,-17.749,3.24
2,11,CC1(C)OCC(C2OC3OC(C)(C)OC3C2OC(=S)SSC(=S)OC2C(C3COC(C)(C)O3)OC3OC(C)(C)OC32)O1,0.3237,1.385,0.3222,0.8341,0.0391,0.2397,0.6322,-17.77,3.169
2,12,C1=CSSC=CSS1,3.435e-07,1.369,0.3193,0.834,0.0389,0.2396,0.632,-17.849,3.162
2,13,O=P([O-])(O)C(O)(C[S+]1CCCCC1)P(=O)(O)O,0.4197,1.324,0.3168,0.834,0.0389,0.2396,0.6319,-17.85,3.044
2,14,NCCNCc1nnn[nH]1,0.2329,1.319,0.3145,0.8338,0.0388,0.2419,0.6417,-17.906,3.057
2,15,N#CCCN(CCC#N)N=O,0.2496,1.317,0.3125,0.8338,0.0387,0.2436,0.6437,-17.942,3.066
2,16,O=S1(=O)OCCOS(=O)(=O)C1(F)Br,0.2077,1.312,0.3106,0.8337,0.0386,0.2443,0.6454,-17.964,2.98
2,17,C=C(C)C=NO,0.0007193,1.283,0.3089,0.8337,0.0386,0.2442,0.6481,-17.964,2.976
2,18,C[N+]1(CCCl)CC[N+](C)(CCCl)CC1,4.966e-07,1.262,0.3074,0.8337,0.0386,0.2437,0.6472,-17.977,2.827
2,19,c1ncn(C23C4C5C6C4C2C6C53)n1,0.0008991,1.251,0.3059,0.8337,0.0386,0.2435,0.6464,-17.99,2.83
2,20,[O-][n+]1onc2c1-c1nonc1CC2,0.2881,1.242,0.3046,0.8337,0.0386,0.2436,0.6469,-17.995,2.831
2,21,CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC,0.1022,1.237,0.3033,0.8336,0.0385,0.2431,0.6471,-18.009,2.834
2,22,O=c1sc2c(s1)SSSSS2,3.006e-05,1.23,0.3021,0.8336,0.0385,0.2432,0.6475,-18.038,2.84
2,23,CNP1(NC)=NP(NC)(NC)=NP(NC)(N2CC2)=N1,0.1819,1.223,0.301,0.8336,0.0385,0.2432,0.6476,-18.04,2.796
2,24,O=NN1CC=CC1,0.001052,1.222,0.3,0.8336,0.0385,0.2436,0.6476,-18.029,2.795
2,25,N#Cc1c[nH]c(-c2nc(C(F)(F)F)c[nH]2)n1,0.2892,1.212,0.299,0.8336,0.0385,0.2437,0.6468,-18.03,2.795
2,26,NCC1OC(OC2C(N)CC(N)C(O)C2OCC(O)CN2CC3CC2CN3CC(O)COC2C(O)C(N)CC(N)C2OC2OC(CN)C(O)C(O)C2N)C(N)C(O)C1O,0.3818,1.213,0.2981,0.8333,0.0383,0.2431,0.6482,-18.107,2.815
2,27,CC(O)COCC(C)O,0.0183,1.216,0.2972,0.8332,0.0384,0.2437,0.6517,-18.086,2.816
2,28,c1c(CN2CCCNCCCNCCC2)nnn1CCCn1cc(CN2CCCNCCCNCCC2)nn1,0.4905,1.216,0.2964,0.8331,0.0383,0.2431,0.65,-18.124,2.824
2,29,Nc1ncnc2c1ncn2CCOCP(=O)(O)OCCOCCOCCOCCOCCOCCO,0.4773,1.223,0.2956,0.833,0.0382,0.2433,0.6553,-18.135,2.829
2,30,CN1C=C(Br)N(O)N1,0.002487,1.208,0.2949,0.8328,0.0382,0.2514,0.659,-18.143,2.837
2,31,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.007399,1.191,0.2942,0.8328,0.0382,0.251,0.6589,-18.148,2.838
2,32,CCNCC1CC1CNCCCCNCC1CC1CNCC,0.02297,1.187,0.2935,0.8327,0.0381,0.2508,0.6568,-18.175,2.844
2,33,CN(C)N=Nc1n[nH]cc1C(N)=O,0.2881,1.18,0.2929,0.8327,0.0381,0.2478,0.6565,-18.203,2.85
2,34,CC#CC#CC=C1C=CC2(CCCCO2)O1,8.283e-05,1.18,0.2923,0.8326,0.0381,0.2455,0.6578,-18.209,2.854
2,35,O=P(Cl)(Cl)Cl,0.0,1.18,0.2917,0.8326,0.038,0.2457,0.6571,-18.219,2.856
2,36,NC(CCCC(=O)NC(CSSCC(NC(=O)CCCC(N)C(=O)O)C(=O)NC(CC(=O)O)C(=O)O)C(=O)NC(CC(=O)O)C(=O)O)C(=O)O,0.4658,1.176,0.2911,0.8325,0.038,0.2457,0.6572,-18.221,2.65
2,37,CC(C)(CCCCC(C)(C)C1NC(=O)N1)C1NC(=O)N1,0.3738,1.17,0.2906,0.8322,0.0382,0.2529,0.6606,-18.153,2.651
2,38,CCCC[n+]1ccccc1,1.704e-06,1.171,0.29,0.8321,0.038,0.2527,0.6594,-18.204,2.661
2,39,N=C(NN=Cc1c(F)c(F)c(F)c(F)c1F)NN=Cc1c(F)c(F)c(F)c(F)c1F,0.1967,1.175,0.2895,0.8318,0.0379,0.2527,0.6584,-18.265,2.679
2,40,COc1c(C)c(OC)c(OC)c2c1CC1C(C#N)N3C(CO)c4c(c(OC)c(C)c(OC)c4OC)CC3C2N1C,0.4327,1.164,0.289,0.8318,0.0379,0.2533,0.661,-18.266,2.68
2,41,CN=C(NC)SCc1c(Br)c(Br)c(Br)c(Br)c1Br,0.0001201,1.165,0.2886,0.8316,0.0379,0.2544,0.665,-18.281,2.687
2,42,CC(C)=CCCC1(CO)OC1CCC1(CO)OC1CCc1ccoc1,0.501,1.144,0.2881,0.8316,0.0378,0.2538,0.6632,-18.287,2.689
2,43,CC12CCC(O)CC1CCC1C2CCC23COC(O)(CO)C2CCC13,0.2604,1.155,0.2877,0.8315,0.0378,0.2593,0.6659,-18.309,2.694
2,44,Nc1nc(F)nc2c1nnn2C1CC(O)C(CO)O1,0.3834,1.161,0.2873,0.8307,0.0377,0.2601,0.665,-18.342,2.723
2,45,NCC1CC(=O)C=C(O)C1,0.1215,1.158,0.2869,0.8304,0.0377,0.2601,0.6662,-18.331,2.73
2,46,CCOC1(OCC)N=C(N)C2(C#N)C3(C(=O)N(C(C)C)N=C3C)C12C#N,0.3411,1.155,0.2865,0.8304,0.0376,0.2602,0.6665,-18.363,2.736
2,47,O=[N+]([O-])OCC(CO)(CO)CO[N+](=O)[O-],0.3014,1.15,0.2861,0.8303,0.0375,0.2593,0.6656,-18.398,2.743
2,48,COC(=O)c1nc(C(=O)OC)c(C(=O)OC)nc1C(=O)OC,0.3035,1.148,0.2857,0.8303,0.0375,0.2612,0.6668,-18.403,2.745
2,49,[N-]=[N+]=NCC1OC(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,0.2422,1.15,0.2854,0.8301,0.0375,0.2611,0.6672,-18.435,2.755
2,50,CCCSc1nsnc1OC1CN2CCC1CC2,0.005347,1.148,0.285,0.8301,0.0375,0.2612,0.6678,-18.431,2.755
2,51,CC12CC(C)(OO1)OO2,0.001573,1.149,0.2847,0.8299,0.0374,0.2616,0.6696,-18.463,2.765
2,52,CSC(=N)NCCC(=O)O,0.1898,1.144,0.2843,0.8299,0.0374,0.2617,0.6699,-18.468,2.767
2,53,Oc1nc(S)ncc1CCCCBr,0.01673,1.135,0.284,0.8298,0.0373,0.2637,0.6705,-18.487,2.774
2,54,c1c2c(cc3c1SSc1cc4c(cc1SS3)OCO4)OCO2,0.003502,1.129,0.2837,0.8297,0.0373,0.2631,0.6687,-18.513,2.779
2,55,FS(F)(F)(F)(F)F,0.0,1.126,0.2834,0.8294,0.0372,0.2634,0.6665,-18.522,2.79
2,56,N#CC1=C(O)NC(O)=C(C#N)C1c1ccc(C2C(C#N)=C(O)NC(O)=C2C#N)cc1,0.4506,1.118,0.2831,0.8294,0.0372,0.2634,0.6664,-18.523,2.759
2,57,CC1C(=O)c2nc(CCN3N=CCCC3=O)[nH]c2N(C)C1=O,0.4905,1.118,0.2828,0.8294,0.0372,0.2634,0.6717,-18.549,2.766
2,58,O=Cc1cncs1,0.0006522,1.117,0.2825,0.8292,0.037,0.2625,0.6774,-18.635,2.784
2,59,N#CC1=C(N)OC2=C(C(=O)CC(CCCCCCBr)(CCCCCCBr)C2)C12C(=O)Nc1ccccc12,0.1448,1.115,0.2823,0.8292,0.037,0.2624,0.6781,-18.643,2.786
2,60,C1CSCCS1,3.466e-07,1.116,0.282,0.8289,0.0369,0.2621,0.6762,-18.66,2.795
2,61,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=O,0.002846,1.114,0.2818,0.8289,0.0369,0.2621,0.6763,-18.665,2.698
2,62,Cc1nc(C#CC2=CC(=NOCCOCCF)CCC2)cs1,0.01375,1.11,0.2815,0.8288,0.037,0.261,0.6764,-18.644,2.698
2,63,NC(CCP(=O)(O)CCC1C=CC=CC1)C(=O)O,0.5285,1.108,0.2812,0.8288,0.037,0.2613,0.6768,-18.646,2.7
2,64,CC(=O)N1CCCC1C#CC[N+](C)(C)C,0.0001133,1.109,0.281,0.8287,0.0369,0.2604,0.6833,-18.654,2.703
2,65,[O-][Cl+]O,0.0,1.109,0.2808,0.8286,0.0369,0.2606,0.6829,-18.683,2.71
2,66,COP(=O)(Cc1ccc(C=CC#N)o1)OC,0.227,1.104,0.2805,0.8286,0.0369,0.2604,0.683,-18.683,2.71
2,67,CC(C)C1NC(=O)c2coc(n2)-c2coc(n2)-c2coc(n2)C(CCCN)NC(=O)c2coc(n2)-c2coc(n2)-c2coc1n2,0.4878,1.097,0.2803,0.8286,0.0368,0.2604,0.6835,-18.7,2.714
2,68,CC(C)N(C)CCc1c[nH]c2cc3ooc3cc12,0.01689,1.094,0.2801,0.8286,0.037,0.2589,0.6907,-18.638,2.705
2,69,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCc3ccc(Cl)cc3)C(=O)OC12C,0.4399,1.088,0.2799,0.8284,0.0369,0.2594,0.6877,-18.676,2.717
2,70,O=C1NC(=NN=CC(O)C(O)C(O)C(O)CO)NC1=Cc1ccco1,0.5041,1.087,0.2797,0.8281,0.0372,0.2594,0.6967,-18.527,2.704
2,71,NC1=NS(=O)(=O)c2sc(Cl)cc2N1,0.2741,1.092,0.2795,0.828,0.0371,0.2618,0.7045,-18.534,2.706
2,72,CSSc1ncccn1,0.0002578,1.085,0.2793,0.828,0.0372,0.2609,0.706,-18.53,2.707
2,73,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCCC(=O)NCCSC1CCOP(=O)(NCCCl)N1CCCl,6.702e-05,1.086,0.2791,0.8279,0.0371,0.2613,0.7047,-18.548,2.713
2,74,[N-]=[N+]=NCC1=CC=C(CCl)SS1,0.01761,1.081,0.2789,0.8278,0.0372,0.2537,0.7067,-18.494,2.708
2,75,CC(C)N(C(=S)N=C1SC(C)S(=O)(=O)N1C)C(C)C,0.03115,1.079,0.2787,0.8278,0.0372,0.2538,0.7068,-18.494,2.708
2,76,OCC12C(c3ccccc3)C3(CO)C4N(Cc5ccncc5)C1C1(CO)C(c5ccccc5)C4(CO)C3N(Cc3ccncc3)C21,0.5568,1.076,0.2785,0.8278,0.0372,0.254,0.7085,-18.502,2.71
2,77,C1=CC=C2NCCCN=C3C=CC=CC=C3NCCCN=C2C=C1,0.03665,1.088,0.2783,0.8267,0.0371,0.2554,0.7183,-18.542,2.75
2,78,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)(C)O)C41C,0.4973,1.087,0.2781,0.8267,0.037,0.2557,0.7169,-18.546,2.751
2,79,OC1C=CSC1O,0.004643,1.088,0.278,0.8266,0.0371,0.2558,0.7226,-18.531,2.751
2,80,NC(=O)CCCCn1ccc(N=C(N)NCC(F)(F)F)n1,0.4169,1.086,0.2778,0.8266,0.0371,0.2554,0.7213,-18.532,2.751
2,81,CC(=NNC(=N)N)c1cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c1,0.396,1.091,0.2776,0.8265,0.037,0.2532,0.7242,-18.558,2.758
2,82,NC1CN(c2cc(N3CCC(F)(F)C3)ncn2)CC1N1CC(F)(F)CCC1=O,0.4266,1.09,0.2774,0.8265,0.037,0.2509,0.727,-18.552,2.758
2,83,Nc1nc(N)nc(NCCCNC2CCCCC2NCCCNc2nc(N)nc(N)n2)n1,0.4515,1.092,0.2773,0.8264,0.0369,0.2494,0.727,-18.59,2.766
2,84,O=C1C(Br)=CC2C3C=CC(Br)(C3=O)C12,0.002274,1.091,0.2771,0.8263,0.0369,0.25,0.7336,-18.599,2.769
2,85,O=C(c1cccnc1)N1Cc2[nH]nc(COCCO)c2C1,0.5389,1.087,0.277,0.8263,0.0369,0.2505,0.7305,-18.605,2.77
2,86,C=CCC1NS(=O)(=O)OCC1NC(=O)OCC(Cl)(Cl)Cl,0.3694,1.093,0.2768,0.8259,0.0368,0.2545,0.7353,-18.663,2.792
2,87,CCc1c(C)c2c(c(O)c1CC=C(C)CP(=O)(O)O)C(=O)OC2,0.5157,1.095,0.2767,0.8259,0.0368,0.2553,0.7374,-18.664,2.793
2,88,CC1CN2c3c(cc4c(-n5cc(C(=N)O)cn5)noc4c3F)CC3(C(O)=NC(=O)N=C3O)C2C(C)O1,0.5212,1.099,0.2765,0.8257,0.0368,0.256,0.7404,-18.648,2.795
2,89,CC(C)(O)C(F)CN=C(O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCCN=C(O)OC(C)(C)C(F)(F)F,0.5422,1.102,0.2764,0.8256,0.037,0.2558,0.7474,-18.559,2.784
2,90,O=C(CC(CC(=O)Oc1c(Br)cc(Br)cc1C(=O)O)C(=O)Oc1c(Br)cc(Br)cc1C(=O)O)Oc1c(Br)cc(Br)cc1C(=O)O,0.04186,1.09,0.2762,0.8255,0.0373,0.2576,0.7528,-18.401,2.766
2,91,C#CCOc1nc(OCC#C)nc(OCC#C)n1,0.1006,1.086,0.2761,0.8254,0.0373,0.258,0.7467,-18.408,2.769
2,92,CC(C)(C)OC(=O)NC1CCc2nnc(o2)CCCCNC(=O)CCC(C=O)NC(=O)C(CC2CCCCC2)NC1=O,0.5128,1.085,0.2759,0.8254,0.0373,0.2581,0.7462,-18.409,2.769
2,93,CN(C(=O)CC(N)CCCNC1=NCCN1)C1CN=C(NC(N)=O)NC1=O,0.4942,1.094,0.2758,0.8252,0.0372,0.2584,0.7511,-18.455,2.781
2,94,COc1nc(N)nc2c1ncn2C1OC(COP(=O)(NC(C)C(=O)OCCC(C)(C)C)NC(C)C(=O)OCCC(C)(C)C)C(O)C1(C)O,0.4574,1.09,0.2756,0.8252,0.0372,0.2583,0.7559,-18.423,2.778
2,95,NCCSc1nsc(SC2=C(C(=O)O)N3C(=O)C(NC(=O)C(=NO)c4cccc(N)n4)C3SC2)n1,0.4904,1.087,0.2755,0.8251,0.0374,0.2583,0.7575,-18.348,2.771
2,96,OCCN1CN(c2nc(N3CN(CCO)C3)nc(N3CN(CCO)C3)n2)C1,0.4478,1.085,0.2754,0.8249,0.0375,0.2582,0.7604,-18.268,2.763
2,97,NCC12CCC(CNC(=O)N3CCN(C(=O)OC4CCCC(OC(=O)N5CCN(C(=O)NCC67CCC(CN)(CC6)CC7)CC5)CCC4)CC3)(CC1)CC2,0.427,1.083,0.2753,0.8249,0.0375,0.2605,0.7639,-18.27,2.764
2,98,CC(C)N=C(NCCCCn1cc(-c2ccc3ccc4ccc(-c5cn(CCCCNC(=NC(C)C)NC(C)C)nn5)nc4c3n2)nn1)NC(C)C,0.3845,1.082,0.2751,0.8249,0.0375,0.261,0.7636,-18.262,2.764
2,99,CC1(C)C=C(C(O)=NCCCN)C(C)(C)N1[O],0.4151,1.08,0.275,0.8248,0.0375,0.2615,0.7644,-18.264,2.765
