BO Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
0,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.0,1.206,0.25,0.8241,0.0472,0.2481,0.6827,-14.648,3.567
1,[O-][Cl+]O,0.0,0.9414,0.1768,0.8241,0.0472,0.2481,0.6827,-14.651,3.485
2,ClC(Br)Br,0.0,0.8233,0.1443,0.8241,0.0472,0.2481,0.6826,-14.653,3.431
3,NS(N)(=O)=O,0.0,0.7505,0.125,0.8241,0.0471,0.2481,0.6826,-14.658,3.289
4,NC1C(O)C(O)C(O)C(O)C1NC1C(O)C(O)C(O)C(O)C1O,0.2426,0.7038,0.1118,0.824,0.0471,0.2481,0.6825,-14.682,3.296
5,CCCCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCCCC)CCCN(CCO)CCO,1.097e-07,0.6757,0.1021,0.8237,0.0466,0.2482,0.6844,-14.809,3.332
6,N#CNC(=S)S,0.0,0.6532,0.0945,0.8226,0.0465,0.2483,0.6843,-14.836,3.292
7,Cc1cn(C2OC(COP(=O)(O)O)C(CN=[N+]=[N-])C2O)c(=O)[nH]c1=O,0.4467,0.6259,0.0884,0.8226,0.0465,0.2484,0.6842,-14.845,3.291
8,O=C(O)C(O)C(O)C(=O)O,0.3132,0.6294,0.0833,0.8217,0.0459,0.2501,0.6884,-15.004,3.35
9,CC(=CC(=O)CC(C)C(=O)O)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(O)C(C)(C)C1CC3=O,0.5744,0.6243,0.0791,0.8214,0.0457,0.2492,0.6951,-15.062,3.37
10,CC(C#N)c1cc(C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)cc(C(C)(C)C#N)c1,0.4746,0.6438,0.0754,0.8201,0.0444,0.2492,0.7029,-15.479,3.331
11,CC(C)CC1C(=O)N(CC(O)C(=O)O)C(=O)C1c1ccc(O)cc1,0.5836,0.6507,0.0722,0.8199,0.0443,0.2489,0.7068,-15.521,3.345
12,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1NC(=O)C1CCC(C(=O)OC)C1,0.541,0.6566,0.0693,0.819,0.0438,0.252,0.7165,-15.68,3.405
