BO Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
0,C=C=C,0.0,1.323,0.25,0.8224,0.0425,0.294,0.7444,-13.836,4.014
1,ClC(Br)Br,0.0,1.022,0.1768,0.8224,0.0424,0.294,0.7444,-13.841,3.96
2,NC1C(O)C(O)C(O)C(O)C1NC1C(O)C(O)C(O)C(O)C1O,0.2426,0.8903,0.1443,0.8224,0.0424,0.2941,0.7444,-13.853,3.934
3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,0.8176,0.125,0.8221,0.042,0.2957,0.7444,-13.993,3.982
4,NCC=O,0.0,0.7631,0.1118,0.822,0.042,0.2697,0.7444,-13.982,3.904
5,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.0,0.725,0.1021,0.8219,0.0419,0.2694,0.7444,-14.02,3.916
6,[O-][Cl+]O,0.0,0.6868,0.0945,0.8219,0.0419,0.2694,0.7444,-14.021,3.798
7,S=C1NCCN1,0.0001245,0.6629,0.0884,0.8219,0.0419,0.2692,0.7444,-14.023,3.608
8,NC(CCSCC1OC(n2cnc3c(=O)[nH]cnc32)C(O)C1O)C(=O)O,0.5375,0.6484,0.0833,0.8219,0.0418,0.2693,0.7443,-14.039,3.556
9,CC(=O)Nc1nnc(SCC(=O)NCC2CCCO2)s1,0.4316,0.6425,0.0791,0.8207,0.0415,0.2751,0.748,-14.132,3.616
10,CNc1nc(C(N)=O)cnc1C#N,0.2779,0.6523,0.0754,0.82,0.0412,0.2778,0.7521,-14.192,3.608
11,CN(C)c1ncnc2c1N=C1CC(C)(C)CC(NCCCC(=O)O)=C1S2,0.5273,0.6525,0.0722,0.8198,0.041,0.2782,0.7529,-14.274,3.618
12,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3ncccn3)CSC12)c1cnc(N)s1)C(=O)O,0.5092,0.6592,0.0693,0.8196,0.0408,0.2802,0.7572,-14.336,3.639
13,CC1CCC(C(=O)O)=C(NC(=O)C(N)Cc2nc(-c3ccc(F)cn3)no2)C1,0.5216,0.6696,0.0668,0.8194,0.0409,0.2829,0.7623,-14.29,3.635
14,N#Cc1csc(NC(=O)CN2C(=O)CCc3ncccc32)c1-c1ncn[nH]1,0.5002,0.6766,0.0645,0.8191,0.0407,0.2853,0.7639,-14.355,3.661
15,O=C(C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O)N1CCSCC1,0.5643,0.6783,0.0625,0.819,0.0406,0.2859,0.7683,-14.38,3.671
16,O=C(O)Cn1ncc2c(Nc3ccc(NC(=O)CCl)cc3)ncnc21,0.5406,0.6833,0.0606,0.8188,0.0408,0.2862,0.774,-15.395,3.663
17,Cc1cc(Nc2nccc(C)n2)cc(-c2cnc(CC3(O)CCC(C(=O)O)CC3)s2)c1,0.6074,0.687,0.0589,0.8178,0.0409,0.2878,0.7755,-15.324,3.674
18,CNC1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)CC1SC,0.5496,0.6978,0.0574,0.8175,0.0408,0.2882,0.7799,-15.359,3.693
19,CN(C)c1ncc2nc(-c3cccc(C#N)c3)c(=O)n(CC3CCCO3)c2n1,0.5795,0.6998,0.0559,0.8173,0.0408,0.2897,0.7811,-15.355,3.698
20,O=C(O)CSc1ncnc2c1sc1nc(-c3ccccc3)c3c(c12)CCC3,0.3826,0.7101,0.0546,0.8168,0.0408,0.2889,0.7844,-15.343,3.709
21,CCNc1ncc(C(=O)N2Cc3nc(C)[nH]c(=O)c3C2)cn1,0.4324,0.7049,0.0533,0.8163,0.0409,0.2889,0.7829,-15.297,3.714
22,CC(=O)NCC1CCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,0.5684,0.7064,0.0521,0.8162,0.0408,0.2891,0.7825,-15.335,3.728
23,CC1(c2cc(NC(=O)c3cnc(NCC#N)cn3)ccc2F)CCSC(N)=N1,0.5368,0.7126,0.051,0.8158,0.0409,0.2883,0.7846,-15.253,3.719
24,CNC(=O)c1ccc2c(=O)n(C(CC3CCCCC3)C(=O)Nc3ncc(Cl)s3)cnc2c1,0.6077,0.7179,0.05,0.8156,0.0411,0.2881,0.7863,-15.206,3.713
25,Cn1c(-c2cccc(F)c2)nc2c(NC(=O)C3CC3)ncnc21,0.3267,0.7256,0.049,0.8147,0.0409,0.2881,0.7876,-15.233,3.748
26,O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)ns1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,0.472,0.7168,0.0481,0.8142,0.0409,0.2884,0.7856,-15.221,3.759
27,CCC1CN(C(=O)C2(C#N)CC2)CC1Nc1c(C(=N)O)cnn2cc(-c3ccc4ncccc4c3)nc12,0.6237,0.7159,0.0472,0.8136,0.0409,0.2886,0.7857,-15.207,3.774
28,CC(=O)NCC1OC(=O)N2c3ccc(-c4ccc(-n5cncn5)nc4)cc3OCC12,0.5712,0.7199,0.0464,0.8135,0.041,0.2886,0.7887,-15.185,3.772
29,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,0.6265,0.7251,0.0456,0.8133,0.0411,0.2888,0.7899,-15.144,3.767
30,CCNC(=O)Nc1nc2cc(-c3cnc(N4CCC(C)(C(=O)O)C4)nc3)cc(-c3ccccn3)c2s1,0.5793,0.731,0.0449,0.8128,0.0413,0.2876,0.7919,-15.061,3.764
31,CC(C)CNc1nc(C#CCNC(=N)O)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.5765,0.7314,0.0442,0.8126,0.0414,0.2881,0.7936,-15.023,3.759
32,Cc1cnc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)NC(CC(=O)O)c1cccnc1,0.5668,0.7368,0.0435,0.8124,0.0414,0.288,0.793,-14.999,3.758
33,CCCOCCn1c(=O)c(NCC(=O)N2CCC(O)CC2)nc2cnc(-c3ccc(OC)nc3)cc21,0.6238,0.7418,0.0429,0.8123,0.0414,0.2885,0.793,-14.985,3.76
34,CC(=O)N1CCC(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(O)=NCC(F)C(C)(C)O)CC1,0.6368,0.746,0.0423,0.812,0.0414,0.2893,0.7957,-15.0,3.771
35,CC(C)N(C)c1nc2cc(C(=O)O)ccc2nc1-c1ccc(N2CCCC2)nc1,0.5584,0.7505,0.0417,0.8119,0.0417,0.2901,0.8034,-14.897,3.749
36,N#Cc1cc(-c2ccnc(Nc3ccc(C(=O)NCCO)cc3)n2)cnc1N1CCC(F)C1,0.6014,0.7529,0.0411,0.8113,0.0418,0.2901,0.8067,-14.819,3.745
37,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC(O)C4)cn3)nc2n1C1CCCC1,0.6152,0.7533,0.0406,0.811,0.0421,0.2903,0.8101,-14.71,3.729
38,CN(C)CC1CCC(Nc2c(C(=O)C3CC3)cnc3ccc(-c4cnc(C#N)nc4)cc23)CC1,0.592,0.7582,0.04,0.8107,0.0425,0.2904,0.8157,-14.576,3.702
39,CCc1ccc(-c2c(C)c(CNC3CCCC3)nn2-c2ncccc2Cl)cn1,0.07615,0.7617,0.0395,0.8106,0.0427,0.2899,0.8201,-14.517,3.691
40,CNC(=O)Nc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)O)CC2)c(=O)n4C)cc1,0.6269,0.7582,0.039,0.8104,0.0427,0.2925,0.8062,-14.496,3.691
41,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C#N)c34)CC2)c1,0.6065,0.756,0.0386,0.8101,0.0428,0.292,0.8265,-14.445,3.687
42,N#Cc1ccc(CC(=O)Nc2cncc(C(=O)c3cn(C45CC(C4)C5)c4nc(N)ncc34)c2)cc1,0.583,0.7613,0.0381,0.8099,0.0429,0.2916,0.8242,-14.429,3.689
43,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4)CC3)nc21,0.6207,0.7647,0.0377,0.8097,0.043,0.2914,0.8244,-14.388,3.683
44,O=C(O)CCC(=O)N1CCN(c2ccc(Nc3ncc(Br)c(NCC4CCCO4)n3)cc2)CC1,0.644,0.7657,0.0373,0.8091,0.0434,0.2911,0.8254,-14.243,3.527
45,CC(=O)NCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N3CCCCC3)cnc21,0.5719,0.7674,0.0369,0.8087,0.0436,0.2908,0.8302,-14.152,3.516
46,CC(C)(O)CNC(=O)c1cnccc1NC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,0.5471,0.765,0.0365,0.8084,0.0438,0.2907,0.8309,-14.105,3.514
47,NC(=O)c1cnc2[nH]ccc2c1NC1CCN(c2ccc(CO)cn2)CC1,0.5925,0.7666,0.0361,0.8083,0.044,0.2909,0.8315,-14.022,3.496
48,CC(=O)Nc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,0.5638,0.7667,0.0357,0.8082,0.044,0.2907,0.8312,-14.012,3.496
49,Cc1cnc(C(CC(=O)O)c2cccc(-c3cncc(C(=O)N4CCOCC4)c3)c2)s1,0.667,0.765,0.0354,0.808,0.0441,0.2905,0.8336,-13.976,3.491
50,Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(N(C)CC3CCOCC3)nc12,0.4422,0.7679,0.035,0.8077,0.0443,0.2902,0.8376,-13.91,3.485
51,CC(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)NCCCN2CCOCC2)n3C)cc1,0.635,0.7667,0.0347,0.8075,0.0446,0.29,0.837,-13.831,3.47
52,CN(C)c1ccc(CNC(=O)c2cnc3sc(N4CCOCC4)nn3c2=O)cc1,0.5524,0.7734,0.0343,0.8068,0.0451,0.2899,0.8458,-13.659,3.447
53,CC(C)Nc1nc(-c2cnn(CC(=O)N3CCOCC3)c2)cc2ncn(C)c(=O)c12,0.5703,0.7695,0.034,0.8064,0.0452,0.2899,0.846,-13.603,3.442
54,CC(=O)N1CCC(c2nc(NCc3ccc(F)cc3)ncc2-c2cc(C)no2)CC1,0.5745,0.7701,0.0337,0.8063,0.0454,0.2898,0.848,-13.563,3.434
55,CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(Nc4cc(C)cc(C)n4)s3)ccc2O)CC1,0.5794,0.7725,0.0334,0.8057,0.0455,0.29,0.8508,-13.501,3.436
56,CC(C)(C)C1CCc2onc(C(=O)Nc3cnn(Cc4ccc(C(=O)O)cc4)c3)c2C1,0.5615,0.7724,0.0331,0.8056,0.0456,0.2898,0.8525,-13.485,3.435
57,Cc1noc(C)c1CC1(O)CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4nccnc34)cc2)CC1,0.6101,0.7738,0.0328,0.8053,0.0456,0.2899,0.8531,-13.477,3.441
58,Cc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)c1cnc(N2CCOCC2)nc1,0.6236,0.7783,0.0325,0.8048,0.0459,0.2898,0.8514,-13.37,3.427
