Iteration,Top5_running_mean
1,0.6207
2,0.6089
3,0.6086333333333334
4,0.5794
5,0.58894
6,0.59984
7,0.59984
8,0.6053200000000001
9,0.6053200000000001
10,0.6053200000000001
11,0.6053200000000001
12,0.6122799999999999
13,0.6122799999999999
14,0.61452
15,0.61452
16,0.61452
17,0.61452
18,0.6182000000000001
19,0.62334
20,0.62788
21,0.6279600000000001
22,0.6279600000000001
23,0.6279600000000001
24,0.6279600000000001
25,0.6279600000000001
26,0.6279600000000001
27,0.63408
28,0.6349400000000001
29,0.6349400000000001
30,0.6349400000000001
31,0.6364599999999999
32,0.6364599999999999
33,0.6364599999999999
34,0.6364599999999999
35,0.6364599999999999
36,0.64018
37,0.64018
38,0.6422399999999999
39,0.64784
40,0.65508
41,0.65508
42,0.65508
43,0.65508
44,0.65508
45,0.65508
46,0.65508
47,0.65508
48,0.6554800000000001
49,0.6554800000000001
50,0.6554800000000001
51,0.6554800000000001
52,0.6554800000000001
53,0.6554800000000001
54,0.6554800000000001
55,0.6554800000000001
56,0.6554800000000001
57,0.6554800000000001
58,0.6554800000000001
59,0.6554800000000001
60,0.6554800000000001
61,0.6554800000000001
62,0.65628
63,0.65676
64,0.65676
65,0.65676
66,0.65676
67,0.65732
68,0.65732
69,0.65808
70,0.65808
71,0.65808
72,0.65808
73,0.65808
74,0.65808
75,0.65808
76,0.65808
77,0.65808
78,0.65808
79,0.65808
80,0.65808
81,0.65808
82,0.65808
83,0.65808
84,0.65808
85,0.65808
86,0.65808
87,0.65808
88,0.65808
89,0.65808
90,0.65808
91,0.65808
92,0.65808
93,0.65808
94,0.65808
95,0.65808
96,0.65808
97,0.65808
98,0.65808
99,0.65808
100,0.65808
101,0.66042
102,0.66288
103,0.6668200000000001
104,0.6668200000000001
105,0.6714800000000001
106,0.6714800000000001
107,0.6714800000000001
108,0.6714800000000001
109,0.6714800000000001
110,0.6714800000000001
111,0.6714800000000001
112,0.6714800000000001
113,0.6714800000000001
114,0.6714800000000001
115,0.6714800000000001
116,0.6714800000000001
117,0.6714800000000001
118,0.6714800000000001
119,0.6714800000000001
120,0.6714800000000001
121,0.6714800000000001
122,0.6714800000000001
123,0.6714800000000001
124,0.6714800000000001
125,0.6714800000000001
126,0.6714800000000001
127,0.6714800000000001
128,0.6714800000000001
129,0.6714800000000001
130,0.6714800000000001
131,0.6714800000000001
132,0.6738
133,0.6738
134,0.6738
135,0.6738
136,0.6738
137,0.6738
138,0.6738
139,0.67554
140,0.67554
141,0.67554
142,0.67554
143,0.67554
144,0.67554
145,0.67554
146,0.67554
147,0.67554
148,0.67554
149,0.67554
150,0.67554
151,0.67554
152,0.67554
153,0.67554
154,0.67554
155,0.67554
156,0.67554
157,0.67554
158,0.67594
159,0.67594
160,0.67594
161,0.67594
162,0.67594
163,0.67594
164,0.67594
165,0.67594
166,0.67594
167,0.67594
168,0.67656
169,0.6785200000000001
170,0.6785200000000001
171,0.6785200000000001
172,0.6785200000000001
173,0.6785200000000001
174,0.6785200000000001
175,0.6785200000000001
176,0.6785200000000001
177,0.6785200000000001
178,0.6785200000000001
179,0.6785200000000001
180,0.6785200000000001
181,0.6785200000000001
182,0.6785200000000001
183,0.6785200000000001
184,0.6785200000000001
185,0.6785200000000001
186,0.6785200000000001
187,0.6785200000000001
188,0.6785200000000001
189,0.6785200000000001
190,0.6785200000000001
191,0.6785200000000001
192,0.6785200000000001
193,0.6785200000000001
194,0.6785200000000001
195,0.6785200000000001
196,0.6785200000000001
197,0.6785200000000001
198,0.6785200000000001
199,0.6785200000000001
200,0.6785200000000001
