Iteration,Top5_running_mean
1,0.5822
2,0.5928500000000001
3,0.6165
4,0.607925
5,0.6027800000000001
6,0.6088000000000001
7,0.6088000000000001
8,0.60976
9,0.6228399999999998
10,0.6228399999999998
11,0.63362
12,0.63362
13,0.63362
14,0.6411
15,0.64682
16,0.6525000000000001
17,0.6525000000000001
18,0.6525000000000001
19,0.6525000000000001
20,0.65818
21,0.6599999999999999
22,0.6599999999999999
23,0.6599999999999999
24,0.6599999999999999
25,0.6599999999999999
26,0.6656799999999999
27,0.6656799999999999
28,0.6656799999999999
29,0.67088
30,0.67332
31,0.67332
32,0.67332
33,0.6796599999999999
34,0.6796599999999999
35,0.6796599999999999
36,0.6796599999999999
37,0.6796599999999999
38,0.6796599999999999
39,0.6824000000000001
40,0.6824000000000001
41,0.6824000000000001
42,0.6824000000000001
43,0.6824000000000001
44,0.6824000000000001
45,0.6824000000000001
46,0.6866800000000002
47,0.6866800000000002
48,0.6866800000000002
49,0.6909600000000001
50,0.6952400000000001
51,0.69756
52,0.69756
53,0.69756
54,0.69756
55,0.69756
56,0.69948
57,0.69948
58,0.69948
59,0.69948
60,0.69948
61,0.69948
62,0.69948
63,0.69948
64,0.69948
65,0.69948
66,0.69948
67,0.6999000000000001
68,0.6999000000000001
69,0.6999000000000001
70,0.6999000000000001
71,0.6999000000000001
72,0.6999000000000001
73,0.6999000000000001
74,0.7002400000000001
75,0.7002400000000001
76,0.7002400000000001
77,0.7002400000000001
78,0.7002400000000001
79,0.7002400000000001
80,0.7002400000000001
81,0.7002400000000001
82,0.7002400000000001
83,0.7002400000000001
84,0.7002400000000001
85,0.7002400000000001
86,0.7002400000000001
87,0.70136
88,0.70468
89,0.70468
90,0.70468
91,0.70468
92,0.70468
93,0.70468
94,0.70468
95,0.70468
96,0.70468
97,0.70468
98,0.70468
99,0.70468
100,0.70468
101,0.70468
102,0.70468
103,0.70468
104,0.70468
105,0.70468
106,0.70468
107,0.70468
108,0.70468
109,0.70468
110,0.70468
111,0.70468
112,0.70468
113,0.70468
114,0.70468
115,0.70468
116,0.70468
117,0.70468
118,0.70468
119,0.70468
120,0.70468
121,0.70468
122,0.70468
123,0.70468
124,0.70468
125,0.70468
126,0.70468
127,0.70468
128,0.70468
129,0.70468
130,0.70468
131,0.70468
132,0.70468
133,0.70468
134,0.70468
135,0.70468
136,0.70468
137,0.70468
138,0.70468
139,0.70468
140,0.70468
141,0.70468
142,0.70468
143,0.70468
144,0.70468
145,0.70468
146,0.70468
147,0.70468
148,0.70468
149,0.70468
150,0.70468
151,0.70468
152,0.70468
153,0.70468
154,0.70468
155,0.70468
156,0.70468
157,0.70468
158,0.70468
159,0.70468
160,0.70468
161,0.70468
162,0.70468
163,0.70468
164,0.70468
165,0.70468
166,0.70468
167,0.70468
168,0.70468
169,0.70468
170,0.70468
171,0.70468
172,0.70468
173,0.70468
174,0.70468
175,0.70468
176,0.70468
177,0.70468
178,0.70468
179,0.70468
180,0.70468
181,0.70468
182,0.70468
183,0.70468
184,0.70468
185,0.70468
186,0.70468
187,0.70468
188,0.70468
189,0.7059
190,0.7059
191,0.7059
192,0.7059
193,0.7059
194,0.7059
195,0.7059
196,0.7059
197,0.7059
198,0.7059
199,0.7067599999999999
200,0.7067599999999999
