Trial,Beta,Iteration,Selected SMILES,UCB,True f
1,0.6,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4)CC3)nc21,0.9176,0.6207
1,0.6,1,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)NC(=O)c4ccc(Cl)cc4)CC3)nc21,0.9303,0.6081
1,0.6,2,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4Cl)CC3)nc21,0.9316,0.5971
1,0.6,3,CC(=O)c1ccc(NC(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1,0.9228,0.004538
1,0.6,4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21,0.9328,0.5736
1,0.6,5,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)nc21,0.9329,0.6168
1,0.6,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(C=NN3CCN(C)CC3)nc21,0.9531,0.5801
1,0.6,7,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(NN)C3)nc21,0.9576,0.5542
1,0.6,8,CCn1cc(C(=O)O)c(=O)c2c(N)nc(N3CCNCC3)nc21,0.9517,0.519
1,0.6,9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(N(C)C)CC3)cc21,0.9558,0.2339
1,0.6,10,COc1ccc(Cn2cc(C(=O)O)c(=O)c3cc4c(nc32)N2CCCC2CO4)c(OC)c1,0.9364,0.6123
1,0.6,11,O=C(O)c1cn(-c2nccs2)c2nc(N3CCCC3)ccc2c1=O,0.9448,0.6021
1,0.6,12,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2nccs2)C1,0.9749,0.5713
1,0.6,13,O=C(O)c1cn(C2CC2)c2nc(-c3ccncc3)c(F)cc2c1=O,0.9569,0.5428
1,0.6,14,O=C(O)c1cn(-c2ccc(F)cc2F)c2nc(N3CCNCC3)c(F)cc2c1=O,0.9643,0.5918
1,0.6,15,NCC(F)=C1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.975,0.585
1,0.6,16,Nc1ccc(C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2N)cc1,0.9838,0.604
1,0.6,17,Nc1ncc(Cn2cc(CN3CCN(c4nc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)nn2)c(N)n1,0.9824,0.5916
1,0.6,18,O=C(O)c1cn(C2CC2)c2nc(N3CCC(O)(c4ccc(Cl)cc4)CC3)c([N+](=O)[O-])cc2c1=O,0.9878,0.6361
1,0.6,19,CC1(CNC2CC2)CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1=NOCc1ccccc1,0.9961,0.6245
1,0.6,20,CNC1CC(=NOC)CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,1.004,0.5481
1,0.6,21,CN1CCC2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(O)cc3)CC21,0.9899,0.6311
1,0.6,22,O=C(O)c1cn(-c2ccc(F)cc2)c2nc(N3CCC(O)C3)c(F)cc2c1=O,1.002,0.6211
1,0.6,23,CN1CC2CCC1CN2c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,0.9937,0.4865
1,0.6,24,CC1CNCCN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(O)cc1,0.9882,0.615
1,0.6,25,CC(C)(CF)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0.9882,0.5695
1,0.6,26,CCON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2nc(N)c(F)cc2F)CC1(C)CNC1CC1,0.9849,0.5406
1,0.6,27,CC1(N)CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CCF)C1,0.985,0.5213
1,0.6,28,COc1c(N2CCN(c3nnc(-c4ccc([N+](=O)[O-])o4)s3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9763,0.581
1,0.6,29,COc1c(N2CCC(CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(O)cc3)c12,0.9881,0.6363
1,0.6,30,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)c(OC(F)F)c21,1.001,0.6017
1,0.6,31,CCNCC1(c2ccccc2)CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1.006,0.4344
1,0.6,32,Nc1cc2c(=O)c(C(=O)O)cn(C3CC3)c2cc1N1CCN(c2ccccn2)CC1,0.9832,0.6498
1,0.6,33,CN1CCN(c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2)CC1,1.004,0.2416
1,0.6,34,Cn1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(c4cnc5ccccc5n4)CC3)cc21,1.002,0.647
1,0.6,35,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(c4nc5ccccc5s4)CC3)cc21,1.006,0.6439
1,0.6,36,Cc1cc(N2CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(Cc5ccc(C(F)(F)F)cc5)c4c3F)CC2)nc(N2CCCCC2)n1,0.9967,0.4199
1,0.6,37,COc1cccc(Cn2c(N3CCCC(N)C3)nc3c4cc(C(=O)O)ccc4n(C)c(=O)c32)c1,0.9849,0.6519
1,0.6,38,Cn1c(=O)n(Cc2ccc(C(=O)O)c(F)c2)c(=O)c2c1nc(N1CCCC(N)C1)n2Cc1ccccc1Cl,0.9996,0.6092
1,0.6,39,Cn1c(=O)n(Cc2ccccc2C#N)c2c(N3CCCC(N)C3)cc(C(=O)O)nc21,1.01,0.6073
1,0.6,40,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2Cl)c2c(C(=O)O)cccc21,1.003,0.6386
1,0.6,41,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2F)c2cc(C(=O)O)ccc21,1.003,0.6477
1,0.6,42,COC(=O)c1ccc2c3nc(N4CCCC(N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,0.9966,0.632
1,0.6,43,Nc1c(F)ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCC(N)C4)nc32)c1F,0.9937,0.5701
1,0.6,44,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc3ccccc3cn1)c(=O)n2C,0.9914,0.5945
1,0.6,45,CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,0.994,0.5701
1,0.6,46,CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(OC)ccc3n2)c1=O,0.9973,0.6052
1,0.6,47,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ncc3ccccc3n1)c(=O)n2C,0.9983,0.5388
