Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f
1,1.0,0,1,5,COc1ccc2[nH]cc(C(=O)C(=O)NC(Cc3ccccc3)C(=O)O)c2c1,1.31,0.5623
1,1.0,0,2,5,CCN(CC)C(=O)C1CCC(N=C(O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CN1Cc1c(F)cccc1OC,1.307,0.4965
1,1.0,0,3,5,O=C(CC(Cc1ccc2c(c1)OCO2)C(=O)NC1c2ccccc2CC1O)NO,1.289,0.6123
1,1.0,0,4,5,O=C(CSc1ncccn1)N(Cc1cccnc1)C(CCc1ccccc1)c1nc2ccccc2[nH]1,1.277,0.4681
1,1.0,0,5,5,CCCCC(=O)Nc1cc(OCC)c(NC(=O)c2ccccc2[N+](=O)[O-])cc1OCC,1.266,0.534
1,1.0,1,1,5,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)C(CCNC(=O)CCc2nc3ccccc3[nH]2)C(=O)NO)cc1,1.355,0.6404
1,1.0,1,2,5,CCOC(=O)C(Cc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,1.346,0.64
1,1.0,1,3,5,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4c5ccccc5CC4O)ncc23)ccn1,1.339,0.5743
1,1.0,1,4,5,CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,1.329,0.4907
1,1.0,1,5,5,COc1cc(C=CC(=O)NC2CCC(NC(=O)C(O)C(N)CCc3ccccc3)CC2)cc(OC)c1OC,1.318,0.6453
1,1.0,2,1,5,CNC(=O)C(Cc1ccc(OC)cc1)NS(=O)(=O)C(CCc1ccccc1)CC(=O)NO,1.397,0.5933
1,1.0,2,2,5,COC(=O)c1ccc2nc(-c3cc(OC)c(O)c(C(=O)NC4CCN(Cc5ccccc5)CC4)c3)[nH]c2c1,1.385,0.6669
1,1.0,2,3,5,CC1=C(C(=O)OCc2ccccc2)C(c2ccc3c(c2)OCO3)NC(=O)N1CCCC(=O)O,1.388,0.6131
1,1.0,2,4,5,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC1CCCc2ccccc21,1.371,0.4001
1,1.0,2,5,5,CCC1(OC(=O)CNC(=O)CNC(=O)CCC(N)C(=O)O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1.331,0.5834
1,1.0,3,1,5,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O,1.412,0.6158
1,1.0,3,2,5,Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)NCC(Cc4ccccc4)C(=O)O)c3)cc21,1.404,0.6046
1,1.0,3,3,5,CCCCOC(=O)NC(C(=O)NO)C1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O,1.391,0.6376
1,1.0,3,4,5,COc1ccc2cc(CN(CCc3ccccc3)Cc3nnnn3CC3CCCO3)c(O)nc2c1,1.383,0.6624
1,1.0,3,5,5,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)C=Cc1ccc2c(c1)OCO2,1.35,0.5398
1,1.0,4,1,5,CCN1CCCC1CN(Cc1cc2cc(OC)ccc2nc1O)C(=O)NCc1ccccc1,1.434,0.5463
1,1.0,4,2,5,CCCCOc1cc(C=CC(=O)O)ccc1OC(=O)CCc1ccccc1,1.424,0.3837
1,1.0,4,3,5,CC(=O)c1cc2c(cc1N(C(=O)Cn1nnc3ccccc31)C(C(=O)NCCC(C)C)c1cccnc1)OCO2,1.392,0.5865
1,1.0,4,4,5,COC(=O)c1c(Cc2ccc(C(=O)NC3CCC(O)CC3)cc2)c(=O)c2cccnc2n1-c1ccccc1,1.403,0.61
1,1.0,4,5,5,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)NCC(=O)O,1.395,0.5664
1,1.0,5,1,5,COc1ccc(-c2cc(C(=O)OCC(=O)NC3CC3)c3ccccc3n2)cc1OC,1.424,0.5988
1,1.0,5,2,5,CCC1(CC)C(=O)N(C(=O)NCc2ccccc2)C1Oc1ccc2cc(C(=O)O)ccc2c1,1.422,0.5765
1,1.0,5,3,5,COc1cc(C(=O)NC(Cc2ccccc2)C(O)CN(CCc2ccc3c(c2)OCO3)C(=O)C2CCN(C(C)=O)CC2)cc(OC)c1OCc1ccccc1,1.419,0.5497
1,1.0,5,4,5,CCCCOC(=O)N1CC2(CC(C(=O)NCC(NS(=O)(=O)c3c(C)cc(C)cc3C)C(=O)O)=NO2)CC1CNc1nc2ccccc2[nH]1,1.381,0.5765
1,1.0,5,5,5,COc1ccc2cc(C(c3nnnn3CC3CCCO3)N3CCc4ccccc43)c(=O)[nH]c2c1,1.379,0.6348
1,1.0,6,1,5,CCOC(=O)c1c(-c2cc3ccc(OC)cc3oc2=O)nn(-c2ccccc2)c1C(=O)OCC,1.428,0.5313
1,1.0,6,2,5,COC(=O)c1cc2c(CCc3ccccc3)c(C(=O)NC3CCCCC3)[nH]c2cc1C,1.422,0.2844
1,1.0,6,3,5,Cc1cc(O)cc(C)c1CC(N)C(=O)N1Cc2ccccc2CC1C(=O)NC(CCCCN)C(=O)c1nc2ccccc2[nH]1,1.413,0.6293
1,1.0,6,4,5,CCCOc1ccccc1C(=O)NC1(OC)C(=O)N2C(C(=O)OCc3ccc(C(=O)O)cc3)=C(CSc3nnnn3C)COC21,1.406,0.5822
1,1.0,6,5,5,COc1ccc(CC2CCOCC2)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccnc2)c1,1.392,0.5797
1,1.0,7,1,5,COc1ccc(NC(=O)C2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)C(N)Cc2ccccc2)cc1,1.434,0.6184
1,1.0,7,2,5,COc1ccc(S(=O)(=O)NCCSC2c3ccccc3COc3ccc(C(=O)O)cc32)cc1OC,1.427,0.629
1,1.0,7,3,5,O=C(O)CC1CCC(=O)N(CC(=O)NCC2CCC(Nc3nc4ccccc4[nH]3)CC2)c2ccccc21,1.404,0.6846
1,1.0,7,4,5,CCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2Cc1ccc2c(c1)OCO2,1.383,0.5347
1,1.0,7,5,5,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)C(CC(C)C)NC(=O)OC(C)(C)C)C(=O)O,1.41,0.4691
1,1.0,8,1,5,CCCCCC1(C(Oc2nc(C)cc(C)n2)C(=O)O)NCC(=O)N(Cc2ccc(OC)cc2)c2ccccc21,1.434,0.6318
1,1.0,8,2,5,COc1cc2ccc(S(=O)(=O)NC(CCCN=C(N)N)C(=O)N3CCC(c4ccccc4)CC3C(=O)O)cc2cc1OC,1.429,0.6616
1,1.0,8,3,5,CCOc1ccc(NC(=O)CSc2nc3ccccc3c(=O)n2CCCC(=O)NCC2CCCO2)cc1,1.422,0.6146
1,1.0,8,4,5,COc1ccc(-c2cccc(CNc3nc4ccccc4[nH]3)c2)cc1S(=O)(=O)NC(CC(=O)O)c1ccccc1,1.427,0.4402
1,1.0,8,5,5,O=C(Cn1nnc(-c2ccc3c(c2)OCO3)n1)Nc1ccccc1C(=O)O,1.398,0.5269
1,1.0,9,1,5,CNC(C)C(=O)NC1C(=O)N(Cc2c(OC)ccc3cc(C(=O)O)ccc23)c2ccccc2OC12CCOCC2,1.433,0.6435
1,1.0,9,2,5,COc1ccc(S(=O)(=O)Nc2nc(NCCCCC(=O)NO)c3ncn(Cc4ccccc4)c3n2)cc1,1.426,0.5772
1,1.0,9,3,5,NC(=O)C1CCCN1C(=O)C(CCCN=c1c(O)c(O)c1=O)NC(=O)OCC1c2ccccc2-c2ccccc21,1.409,0.6361
1,1.0,9,4,5,CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2Cc3ccccc3CN2)c2cccnc21,1.41,0.5964
1,1.0,9,5,5,COc1ccc(C)cc1-n1nnnc1SCC(O)=C(C#N)c1nc2ccccc2[nH]1,1.391,0.4863
1,1.0,10,1,5,CNC(=O)C(Cc1ccc(OC)cc1)NC(=O)C1(NC(CCN2C(=O)c3cc4ccccc4cc3C2=O)C(=O)O)CCCCC1,1.433,0.6669
1,1.0,10,2,5,Cc1ccc2[nH]c(CNC(=O)c3ccc4c(c3)CN(Cc3ccccc3)C(=O)C(CC(=O)O)N4)nc2n1,1.432,0.6039
1,1.0,10,3,5,COc1cc(O)c(S(=O)(=O)N2c3ccccc3Oc3ccccc32)cc1NC(=O)C1C(C)C1C(=O)O,1.427,0.5509
1,1.0,10,4,5,CCN(CC)CCCOc1ccc2nc(-c3ccccc3)n(CC(=O)NCC3CC3)c(=O)c2c1,1.418,0.4967
1,1.0,10,5,5,CCC(c1nc2ccccc2[nH]1)N(C(=O)Cc1cc(OC)cc(OC)c1)c1ccc(N2CCOCC2)cc1,1.424,0.4296
1,1.0,11,1,5,COc1ccc(OC)c(NC(=O)CSC2=Nc3ccccc3C3=NC(CC(=O)NCc4ccc5c(c4)OCO5)C(=O)N23)c1,1.435,0.5671
1,1.0,11,2,5,CCC(C)C(NC(=O)C(Cc1ccccc1)n1c(=O)[nH]c2ccccc2c1=O)C(=O)NCC1CCC(C(=O)O)CC1,1.424,0.604
1,1.0,11,3,5,CC(=O)N1CCCC1c1cc2[nH]c(-c3ccccn3)nc2cc1Oc1ccc(C(N)=O)cc1,1.421,0.6282
1,1.0,11,4,5,O=C(CN1CC(CO)=CCC(NC(=O)c2ccc3ccccc3c2)C1=O)NC1CC(=O)OC1O,1.42,0.6612
1,1.0,11,5,5,COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCCc1ccc(O)c(C=NO)n1)CC2,1.401,0.5536
1,1.0,12,1,5,CNC(=O)C(Cc1ccc2ccccc2c1)N1CCC(=O)N(Cc2cccc(O)c2)C(CC(C)C)C1=O,1.441,0.7058
1,1.0,12,2,5,O=C(NCC(NS(=O)(=O)c1ccccc1)C(=O)O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2,1.431,0.622
1,1.0,12,3,5,COCCCNC(=O)CNC(=O)c1nn(-c2ccc(OC)cc2OC)c(=O)c2ccccc12,1.425,0.5735
1,1.0,12,4,5,CCOC(=O)C1C(c2cc3ccccc3nc2Cl)NC(c2cc3ccccc3nc2Cl)C(C(=O)OCC)S1(=O)=O,1.418,0.4761
1,1.0,12,5,5,CCCCc1c(Cc2ccc(-c3ccccc3-c3nc(=O)o[nH]3)cc2)c(=O)n(C2CCC(O)CC2)c2ncnn12,1.403,0.6432
1,1.0,13,1,5,CC(C)(N)CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3C(=O)NCCCO)cc2)C1=O,1.451,0.6946
1,1.0,13,2,5,COc1cc(N(CC2CC2)c2ccc3ccccc3c2)cnc1C(=O)C1CC1C(=O)O,1.44,0.5114
1,1.0,13,3,5,CC(C)CC(NC(=O)COc1ccc(O)cc1)C(=O)NC(CC1CCNC1=O)C(=O)c1nc2ccccc2s1,1.443,0.5963
1,1.0,13,4,5,C=CCN1C(=O)C2(C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2CCCOC)c2ccccc21,1.425,0.6319
1,1.0,13,5,5,O=C1C(=O)N(Cc2nnnn2Cc2ccccc2)c2ccc(S(=O)(=O)N3CCCC3CF)cc21,1.421,0.5963
1,1.0,14,1,5,N=C(N)c1ccc(CNC(=O)CN2C(=O)C(NS(=O)(=O)c3ccc4c(c3)CCO4)CCc3ccccc32)cc1,1.452,0.6064
1,1.0,14,2,5,O=C(O)CCCC(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,1.45,0.6864
1,1.0,14,3,5,COc1cc(C=C2SC(=Nc3ccccc3)N(C(C)C(=O)NC(Cc3ccc(O)cc3)C(N)=O)C2=O)cc(OC)c1O,1.438,0.5515
1,1.0,14,4,5,Cn1c(=O)n(C2CCC(OCCO)CC2)c2c3nc(-c4cnc5ccccc5c4)ccc3ncc21,1.415,0.6503
1,1.0,14,5,5,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)C(C)c3ccc4ccccc4c3)c2C1,1.425,0.6078
1,1.0,15,1,5,COc1ccc2c(c1)CCC1CN(CCCCNC(=O)c3ccc4ccccc4c3)CCN21,1.45,0.02384
1,1.0,15,2,5,CCC(=O)C1(O)C(=O)N2C(=C3C(=O)OCCC31)N(Cc1ccccc1)C(C)=C(C(=O)OC)C2c1ccccc1,1.448,0.611
1,1.0,15,3,5,CCCCc1nc(SC)c(C(=O)O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCC(C)C)cc1,1.446,0.4319
1,1.0,15,4,5,O=C(NC1Cc2ccccc2N(Cc2n[nH]c(-c3ncc[nH]3)n2)C1=O)c1cc2cc(Cl)ccc2[nH]1,1.414,0.5577
1,1.0,15,5,5,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)CNC(=O)CNC(=O)c1ccc2c(c1)C(=O)C(=O)c1ccccc1-2)C(=O)NCC(=O)O,1.42,0.5962
1,1.0,16,1,5,CSCCC(C(=O)NCC(=O)O)N1C(=O)c2cc(NC(C)=O)ccc2NC(=O)C1c1ccccc1,1.454,0.5993
1,1.0,16,2,5,CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccccc2C(=O)O)c(=O)c2ccc(C)nc21,1.441,0.4664
1,1.0,16,3,5,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCON=C3c4ccccc4-c4ccccc43)C2SC1,1.45,0.6099
1,1.0,16,4,5,O=S(=O)(c1ccccc1)N(CCO)Cc1cc2cc3c(cc2nc1O)OCCO3,1.415,0.618
1,1.0,16,5,5,C=CCc1cccc(CC(NC(=O)c2cc(-c3ccccn3)c(=O)n(CC=C)c2)C(O)CNC2CC3(CCC3)Oc3ccc(CC)cc32)c1,1.414,0.3189
1,1.0,17,1,5,COc1ccc(S(=O)(=O)N2Cc3ccccc3CC2C(=O)NC(CCC(=O)O)C(=O)O)cc1OC,1.448,0.6158
