Trial,Beta,Iteration,Selected SMILES,UCB,True f
1,0.8,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4)CC3)nc21,1.079,0.6207
1,0.8,1,Cc1cccc(N2CCN(C(=O)Nc3cnn(CC(N)=O)c3)CC2)c1,1.101,0.5625
1,0.8,2,CC(=O)c1ccc(NC(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1,1.121,0.004538
1,0.8,3,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21,1.114,0.5736
1,0.8,4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)nc21,1.103,0.6168
1,0.8,5,CCn1cc(C(=O)O)c(=O)c2cc(F)c(C=NN3CCN(C)CC3)nc21,1.124,0.5801
1,0.8,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21,1.131,0.5704
1,0.8,7,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)c(OC(F)F)c21,1.143,0.6017
1,0.8,8,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(Br)CC3)c(F)c21,1.152,0.1643
1,0.8,9,CCn1cc(C(=O)N2CCN(c3cccc(C)c3C)CC2)c(=O)c2ccc(C)nc21,1.136,0.1175
1,0.8,10,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2nccs2)C1,1.113,0.5713
1,0.8,11,Nc1ncc(Cn2cc(CN3CCN(c4nc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)nn2)c(N)n1,1.126,0.5916
1,0.8,12,Nc1cc2c(=O)c(C(=O)O)cn(C3CC3)c2cc1N1CCN(c2ccccn2)CC1,1.135,0.6498
1,0.8,13,O=C(NCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cnccn1,1.158,0.6494
1,0.8,14,Cc1cccc(N2CCN(CC(=O)N3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)CC2)c1,1.17,0.662
1,0.8,15,O=C(O)c1cn(C2CC2)c2cc(N3CCN(c4ccncc4)CC3)c(F)cc2c1=O,1.174,0.5204
