Trial,Beta,Iteration,Selected SMILES,UCB,True f
1,0.2,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4)CC3)nc21,0.5954,0.6207
1,0.2,1,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4Cl)CC3)nc21,0.6541,0.5971
1,0.2,2,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)NC(=O)c4ccc(Cl)cc4)CC3)nc21,0.6578,0.6081
1,0.2,3,CCOc1ccc(NC(=O)CC2C(=O)N(c3ccc(C)cc3)C(=O)N2C2CCCCC2)cc1,0.5945,0.4917
1,0.2,4,CCOC(=O)c1ccc(NC(=O)CC2C(=O)N(c3ccc(OC)cc3)C(=S)N2C2CC2)cc1,0.57,0.6271
1,0.2,5,CCOC(=O)c1ccc(NC(=S)N2CCC(C(N)=O)CC2)cc1,0.5916,0.5462
1,0.2,6,CC(=O)c1ccc(NC(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1,0.6125,0.004538
1,0.2,7,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21,0.5908,0.5736
1,0.2,8,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(NN)C3)nc21,0.629,0.5542
1,0.2,9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(Cl)C3)nc21,0.6348,0.3932
1,0.2,10,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(NC(=O)C(F)(F)F)C3)nc21,0.6014,0.5501
1,0.2,11,CCOC(=O)c1ccc(NC(=O)C2CCN(S(=O)(=O)CC)CC2)cc1,0.591,0.6084
1,0.2,12,CCOC(=O)c1ccc(NC(=O)CN2C(=O)CNC2=O)cc1,0.6091,0.5106
1,0.2,13,CCOC(=O)c1ccc(NC(=O)C2CCC(CNc3c(N4CCOCC4)c(=O)c3=O)CC2)cc1,0.6154,0.6083
1,0.2,14,CCOC(=O)c1ccc(NC(=O)C2C(=O)NC(=O)NC2=O)cc1,0.6209,0.4705
1,0.2,15,CCOC(=O)c1ccc(NC(=O)CSC(=S)N2CCOCC2)cc1,0.6155,0.2594
1,0.2,16,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NC(=O)C3CCC(COc4ccccc4)CC3)c(F)c21,0.617,0.5666
1,0.2,17,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(NC(=O)OC)cc4)CC3)cc21,0.6201,0.6265
1,0.2,18,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(NC(C)=O)cc4)CC3)cc21,0.6769,0.634
1,0.2,19,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(N)cc4)CC3)cc21,0.6758,0.6311
1,0.2,20,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(OC)c(OC)c4)CC3)cc21,0.6839,0.6211
1,0.2,21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21,0.6823,0.5704
1,0.2,22,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)c4ccccc4Br)CC3)cc21,0.6822,0.5898
1,0.2,23,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(Cl)c(Cl)c4)CC3)cc21,0.6838,0.614
1,0.2,24,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(N(C)C)CC3)cc21,0.6829,0.2339
1,0.2,25,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)nc21,0.6659,0.6168
1,0.2,26,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)c4cc5ccccc5o4)CC3)cc21,0.6681,0.6517
