Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f
1,0.2,0,1,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5ncc6ccccc65)C4)cc23)ccn1,0.6833,0.5822
1,0.2,0,2,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCC3CC3)C2(Cc2ccccc2)C2C1=CCC1C(=O)NC(=O)C12,0.6155,0.6035
1,0.2,0,3,5,COc1cccc(-c2ccc(CC(CC(=O)NO)C(=O)NC3c4ccccc4CC3O)cc2)c1,0.5679,0.6638
1,0.2,0,4,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5ncc6ccccc65)C4)cc23)ccn1,0.6833,0.5822
1,0.2,0,5,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5ncc6ccccc65)C4)cc23)ccn1,0.6833,0.5822
1,0.2,1,1,5,O=C(CC(Cc1ccc2c(c1)OCO2)C(=O)NC1c2ccccc2CC1O)NO,0.6617,0.6123
1,0.2,1,2,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5cc(C#N)c6ccccc65)C4)cc23)ccn1,0.6512,0.4748
1,0.2,1,3,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCCOC)C2(Cc2ccccc2)C2C1=CCC1C(=O)NC(=O)C12,0.647,0.587
1,0.2,1,4,5,CNc1ccc(S(=O)(=O)NCC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)cc1,0.6516,0.6476
1,0.2,1,5,5,COc1ccc(-c2nc(C(=O)NCC(=O)NO)cc3c2[nH]c2ccccc23)cc1,0.5945,0.5443
1,0.2,2,1,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)CNS(=O)(=O)c1ccc(F)cc1,0.7153,0.6409
1,0.2,2,2,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCC3CC3)C2(Cc2ccccc2)C2C1=CCC1C(=O)N(C)C(=O)C12,0.6454,0.5828
1,0.2,2,3,5,Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(C(F)(F)c5ccccc5)C4)cc23)ccn1,0.6385,0.4212
1,0.2,2,4,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)CNS(=O)(=O)c1ccc(F)cc1,0.7153,0.6409
1,0.2,2,5,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)CNS(=O)(=O)c1ccc(F)cc1,0.7153,0.6409
1,0.2,3,1,5,O=C(NC1CCCC1)c1ccc(S(=O)(=O)NCC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)cc1,0.7121,0.6693
1,0.2,3,2,5,CCC1=C(OC(=O)N(CC)CC)N2C(=O)OC(=NCC3CC3)C2(Cc2ccccc2)C2C1=CCC1C(=O)N(CC)C(=O)C12,0.6532,0.5279
1,0.2,3,3,5,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4c5ccccc5CC4O)ncc23)ccn1,0.6482,0.5743
1,0.2,3,4,5,CNC(=O)C(Cc1ccc(OC)cc1)NS(=O)(=O)C(CCc1ccccc1)CC(=O)NO,0.6426,0.5933
1,0.2,3,5,5,O=C(NC1CCCC1)c1ccc(S(=O)(=O)NCC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)cc1,0.7121,0.6693
1,0.2,4,1,5,NS(=O)(=O)c1ccccc1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,0.7196,0.65
1,0.2,4,2,5,CNC(=O)C(Cc1ccc(OC)cc1)NC(=O)C(CCc1ccccc1)CC(C)C(=O)O,0.6661,0.6124
1,0.2,4,3,5,COc1ccc(S(=O)(=O)N2Cc3cc(NC(=O)C(N)Cc4ccccc4)ccc3CC2C(=O)NO)cc1,0.6685,0.5935
1,0.2,4,4,5,Cc1cc(C(=O)NCC(=O)NC2CCCc3ccccc32)cc(C)c1OCc1ccccc1,0.6506,0.2358
1,0.2,4,5,5,CCN(CC)C(=O)C1CCC(N=C(O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CN1Cc1c(F)cccc1OC,0.6191,0.4965
1,0.2,5,1,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)Cc1ccccc1O,0.725,0.676
1,0.2,5,2,5,COc1ccc(CSCC(NC(=O)C(CS)Cc2ccccc2)C(=O)O)cc1,0.6982,0.4302
1,0.2,5,3,5,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)C(CCNC(=O)CCc2nc3ccccc3[nH]2)C(=O)NO)cc1,0.6605,0.6404
1,0.2,5,4,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)Cc1ccccc1O,0.725,0.676
1,0.2,5,5,5,O=C(NC1c2ccccc2CC1O)C(Cc1ccccc1)CC(O)Cc1ccccc1O,0.725,0.676
1,0.2,6,1,5,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccc(CCC[N+](C)(C)C)cc1)C(=O)NC1c2ccccc2CC1O,0.7069,0.5235
1,0.2,6,2,5,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)CC(O)C(N)Cc2ccccc2)cc1,0.6829,0.6382
1,0.2,6,3,5,CC(C)(C)NC(=O)C1CN(Cc2nc3ccccc3s2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,0.7013,0.701
1,0.2,6,4,5,CNC(=O)C(Cc1ccc(OC)cc1)NC(=O)C1(CC(=O)NO)Cc2ccccc21,0.6698,0.582
1,0.2,6,5,5,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4nc5ccccc5[nH]4)ncc23)ccn1,0.6178,0.514
