Trial,Beta,Iteration,Selected SMILES,UCB,True f
1,0.4,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4)CC3)nc21,0.7565,0.6207
1,0.4,1,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4cccc(Cl)c4Cl)CC3)nc21,0.7866,0.5971
1,0.4,2,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)NC(=O)c4ccc(Cl)cc4)CC3)nc21,0.7975,0.6081
1,0.4,3,CCOc1ccc(NC(=O)CC2C(=O)N(c3ccc(C)cc3)C(=O)N2C2CCCCC2)cc1,0.7566,0.4917
1,0.4,4,CC(=O)c1ccc(NC(=S)N2CCN(c3cccc(Cl)c3)CC2)cc1,0.7467,0.004538
1,0.4,5,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21,0.7519,0.5736
1,0.4,6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(NN)C3)nc21,0.7759,0.5542
1,0.4,7,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)nc21,0.7763,0.6168
1,0.4,8,CCn1cc(C(=O)O)c(=O)c2cc(F)c(C=NN3CCN(C)CC3)nc21,0.7862,0.5801
1,0.4,9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(Cl)C3)nc21,0.7861,0.3932
1,0.4,10,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21,0.7724,0.5704
1,0.4,11,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(NC(=O)OC)cc4)CC3)cc21,0.7991,0.6265
1,0.4,12,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(OC)c(OC)c4)CC3)cc21,0.8215,0.6211
1,0.4,13,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)c4ccccc4Br)CC3)cc21,0.8258,0.5898
1,0.4,14,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nnc(-c5cccc([N+](=O)[O-])c5)o4)CC3)cc21,0.8288,0.6308
1,0.4,15,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(S(=O)(=O)c4ccc(N)cc4)CC3)cc21,0.8323,0.6311
1,0.4,16,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(S)=NN=C(C)c4ccccn4)CC3)cc21,0.8273,0.6347
1,0.4,17,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)c4cc5ccccc5o4)CC3)cc21,0.8363,0.6517
1,0.4,18,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=S)NC(=O)c4cc(OC)cc(OC)c4)CC3)cc21,0.8388,0.6149
1,0.4,19,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(N(C)C)CC3)cc21,0.8358,0.2339
1,0.4,20,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4nnc(-c5ccc([N+](=O)[O-])cc5)o4)CC3)cc21,0.8195,0.624
1,0.4,21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)c(OC(F)F)c21,0.8194,0.6017
1,0.4,22,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(c4ccc(OC)c5ccccc45)c4nnnn4C(C)(C)C)CC3)cc21,0.8115,0.5959
1,0.4,23,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(c4ccc(F)cc4)c4nnnn4C(C)(C)C)CC3)cc21,0.821,0.6316
1,0.4,24,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4cc(C)nc(N5CCN(C)CC5)n4)CC3)cc21,0.8222,0.5964
1,0.4,25,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2F)CC1,0.8271,0.2443
1,0.4,26,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CN4C(=O)C(=NNC(=O)c5ccncc5)c5cc(Cl)ccc54)CC3)cc21,0.8211,0.6197
