Molecule_index,Round,Top5_running_mean
1,0.0,0.6189534160558982
2,0.2,0.5741713201715956
3,0.4,0.48271959970603184
4,0.6000000000000001,0.47661464944494797
5,0.8,0.4632173887468376
6,1.0,0.5235981795418496
7,1.2000000000000002,0.5235981795418496
8,1.4000000000000001,0.5433500662792822
9,1.6,0.5656203360499147
10,1.8,0.5656203360499147
11,2.0,0.5656203360499147
12,2.2,0.5820323903777687
13,2.4000000000000004,0.6001294209371564
14,2.6,0.6001294209371564
15,2.8000000000000003,0.6001294209371564
16,3.0,0.6141907623004007
17,3.2,0.6141907623004007
18,3.4000000000000004,0.6265825136036915
19,3.6,0.6265825136036915
20,3.8000000000000003,0.6303046502369992
21,4.0,0.6303046502369992
22,4.2,0.6303046502369992
23,4.4,0.6303046502369992
24,4.6000000000000005,0.6303046502369992
25,4.800000000000001,0.6303046502369992
26,5.0,0.6303046502369992
27,5.2,0.6303046502369992
28,5.4,0.6303046502369992
29,5.6000000000000005,0.6303046502369992
30,5.800000000000001,0.6303046502369992
31,6.0,0.6303046502369992
32,6.2,0.6351839928681878
33,6.4,0.6351839928681878
34,6.6000000000000005,0.6351839928681878
35,6.800000000000001,0.6351839928681878
36,7.0,0.6416458175815676
37,7.2,0.6416458175815676
38,7.4,0.6416458175815676
39,7.6000000000000005,0.6567547931714091
40,7.800000000000001,0.6567547931714091
41,8.0,0.6606916141724561
42,8.200000000000001,0.662129238419283
43,8.4,0.662129238419283
44,8.6,0.662129238419283
45,8.8,0.662129238419283
46,9.0,0.662129238419283
47,9.200000000000001,0.6653903947878699
48,9.4,0.6653903947878699
49,9.600000000000001,0.6653903947878699
50,9.8,0.6653903947878699
51,10.0,0.6653903947878699
52,10.200000000000001,0.6653903947878699
53,10.4,0.6653903947878699
54,10.600000000000001,0.6653903947878699
55,10.8,0.6653903947878699
56,11.0,0.6653903947878699
57,11.200000000000001,0.6653903947878699
58,11.4,0.6653903947878699
59,11.600000000000001,0.6653903947878699
60,11.8,0.6653903947878699
61,12.0,0.6653903947878699
62,12.200000000000001,0.6653903947878699
63,12.4,0.6653903947878699
64,12.600000000000001,0.6653903947878699
65,12.8,0.6653903947878699
66,13.0,0.6705680441399808
67,13.200000000000001,0.6705680441399808
68,13.4,0.6705680441399808
69,13.600000000000001,0.6705680441399808
70,13.8,0.6705680441399808
71,14.0,0.6705680441399808
72,14.200000000000001,0.6706935675502275
73,14.4,0.6706935675502275
74,14.600000000000001,0.6706935675502275
75,14.8,0.6706935675502275
76,15.0,0.6706935675502275
77,15.200000000000001,0.6706935675502275
78,15.4,0.6706935675502275
79,15.600000000000001,0.6706935675502275
80,15.8,0.6706935675502275
81,16.0,0.6772921283064238
82,16.2,0.6772921283064238
83,16.400000000000002,0.6772921283064238
84,16.6,0.6772921283064238
85,16.8,0.6772921283064238
86,17.0,0.6772921283064238
87,17.2,0.6772921283064238
88,17.400000000000002,0.6772921283064238
89,17.6,0.6772921283064238
90,17.8,0.6772921283064238
91,18.0,0.6772921283064238
92,18.2,0.6895051816058149
93,18.400000000000002,0.6895051816058149
94,18.6,0.6895051816058149
95,18.8,0.6895051816058149
96,19.0,0.6913956167620602
97,19.200000000000003,0.6913956167620602
98,19.400000000000002,0.6913956167620602
99,19.6,0.6913956167620602
100,19.8,0.6913956167620602
