Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f,Method
,,0,1,5,CNC1(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c(C)c4C)ccc3F)CC2)CC1,0.6962,0.5826,BUCB
,,0,2,5,O=C(NCc1cn(Cc2ccc(F)cc2)nn1)Nc1ccc(C(=O)Nc2cccc(Oc3ccccc3)c2)cc1,0.5806,0.3289,BUCB
,,0,3,5,CN(CCOc1ccc(CC(CCOc2ccccc2)C(=O)O)cc1)c1nc2ccccc2o1,0.5763,0.5188,BUCB
,,0,4,5,O=C(CSCc1ccc(Cl)c(Cl)c1)c1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1,0.5737,0.09337,BUCB
,,0,5,5,O=C(C(=O)c1ccc(Cl)cc1Cl)c1cn(CCc2ccccc2)nn1,0.5711,0.1921,BUCB
,,1,1,5,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(C)CCN4)CC3)c2)n[nH]c(=O)c1C,0.6933,0.5826,BUCB
,,1,2,5,CN(CCOc1ccc(CC(CCCCc2ccccc2)C(=O)O)cc1)c1nc2ccccc2o1,0.6194,0.2517,BUCB
,,1,3,5,Cc1cc(=N)[nH]c(C)c1CN=C(O)c1cn(Cc2ccc(Oc3ccccc3)cc2)nn1,0.5697,0.5815,BUCB
,,1,4,5,O=C(CNC(=O)C(Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1cccc2ccccc12)Nc1ccccc1,0.5585,0.6124,BUCB
,,1,5,5,O=C(NCCc1ccc(Cl)cc1)c1nnc(Cc2ccc(Cl)cc2Cl)o1,0.5451,0.2158,BUCB
,,2,1,5,O=C(NC(Cc1ccc([N+](=O)[O-])cc1)c1nccs1)c1cccc2ccccc12,0.6522,0.4974,BUCB
,,2,2,5,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CCCCC2)CC1,0.6482,0.6348,BUCB
,,2,3,5,Cc1cc(=N)[nH]c(C)c1CNC(=O)c1n[nH]c(Cc2ccc(Oc3ccccc3)cc2)n1,0.6495,0.5735,BUCB
,,2,4,5,Cc1ccc(NC(=O)c2cccc3ccccc23)c(=O)n1CC(=O)NC(CC(=O)O)C(=O)COc1ccccc1,0.6419,0.6134,BUCB
,,2,5,5,Cc1cc(=N)[nH]c(C)c1CN=C(O)c1cn(Cc2cccc(-n3cccn3)c2)nn1,0.5937,0.5396,BUCB
,,3,1,5,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,0.7502,0.307,BUCB
,,3,2,5,CCCCC(C(=O)NC(CC(=O)O)C(=O)COc1ccccc1)n1cccc(NC(=O)c2cccc3ccccc23)c1=O,0.7249,0.6049,BUCB
,,3,3,5,Cc1cc(=N)[nH]c(C)c1CN=C(O)c1cnn(Cc2ccc(COc3ccccc3)cc2)c1,0.6754,0.5834,BUCB
,,3,4,5,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(C(=O)C2CCCC2)CC1,0.6678,0.4806,BUCB
,,3,5,5,COc1ccc(CC(NC(=O)c2cccc3ccccc23)C(=O)NC(C)C(=O)Nc2ccc(C#N)cc2)cc1,0.6887,0.5571,BUCB
,,4,1,5,CC(NC(=O)C(Cc1cscn1)NC(=O)c1cccc2ccccc12)C(=O)Nc1ccc(Cl)cc1,0.6957,0.5352,BUCB
,,4,2,5,Cc1cc(=N)[nH]c(C)c1CN=C(O)c1cnn(Cc2ccc(Cn3ccnn3)cc2)c1,0.6758,0.5561,BUCB
,,4,3,5,COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(CC(=O)O)cc3)NC(=O)Cc3cccc4ccccc34)c2=O)cc1,0.6942,0.5308,BUCB
,,4,4,5,O=C(c1cccnc1)N1CCN(C(=O)c2cc(Cc3nnc(O)c4c3CCCC4)ccc2F)CC1,0.6552,0.6424,BUCB
,,4,5,5,O=C(O)CCc1ccc(COc2ccccc2)cc1C(=O)NC(CC1CC1)c1ccccc1,0.6559,0.339,BUCB
,,5,1,5,O=C(c1cccnc1)N1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,0.758,0.6245,BUCB
,,5,2,5,CC(C)(C)OC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(=O)c1cccc2ccccc12,0.7083,0.4626,BUCB
,,5,3,5,Cc1cc(=N)[nH]c(C)c1CN=C(O)c1cnn(Cc2ccc(Cl)cc2)c1,0.706,0.5282,BUCB
,,5,4,5,CCCN1c2ccccc2C(=O)N(CC(=O)O)c2cc(NC(=O)c3cccc4ccccc34)ccc21,0.7023,0.3984,BUCB
,,5,5,5,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)NC(CC(=O)O)C(=O)COc1cc(F)ccc1F,0.6777,0.5775,BUCB
,,6,1,5,O=C(c1ccncc1)N1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,0.7367,0.6211,BUCB
,,6,2,5,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)NC(CC(=O)O)C(=O)COc1ccc2ccccc2n1,0.7259,0.5942,BUCB
,,6,3,5,Cc1cc(=N)[nH]c(C)c1CNC(=O)c1ncn(Cc2cccc3ccccc23)n1,0.717,0.5585,BUCB
,,6,4,5,Cc1[nH]c(=N)cc(OCC(=O)C(C)(C)C)c1CN=C(O)c1cnn(Cc2ccc3ccccc3c2)c1,0.7018,0.5556,BUCB
,,6,5,5,O=C(CNC(=O)C1CCCN1C(=O)c1coc(-c2ccccc2)n1)NC(Cc1ccc(O)cc1)C(=O)Nc1ccc(F)cc1F,0.6725,0.6363,BUCB
