Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f,Method
3,0.1,0,1,5,O=S(=O)(O)NS(=O)(=O)O,0.3665,0.1366,BUCB+MI
3,0.1,0,2,5,CC[N+](=O)[O-],0.379,0.005697,BUCB+MI
3,0.1,0,3,5,CCOC(=O)CCNC(=O)CC(O)C(CC(C)C)NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)CC)C(C)CC,0.4028,0.4837,BUCB+MI
3,0.1,0,4,5,O=[N+]([O-])c1c(Cl)c(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,0.4077,0.1109,BUCB+MI
3,0.1,0,5,5,N#CC(C#N)=C(C#N)c1ccc(C=O)cc1,0.4111,0.431,BUCB+MI
3,0.1,1,1,5,O=C(CS)OCCOC(=O)CS,0.4188,0.03085,BUCB+MI
3,0.1,1,2,5,NS(=O)(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O)cc1,0.4729,0.4714,BUCB+MI
3,0.1,1,3,5,CN1C(=O)C(=CC(=O)O)SC1=NNC(=O)OC(C)(C)C,0.4582,0.3757,BUCB+MI
3,0.1,1,4,5,CC(C)CN(CC(C)C)c1nc(N)c(C#N)c(CC#N)c1C#N,0.431,0.381,BUCB+MI
3,0.1,1,5,5,O=C(CN(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NO,0.482,0.3288,BUCB+MI
3,0.1,2,1,5,CN(C)CCNC(=O)c1nc(NC(=O)c2nc(NC(=O)CCNC(=O)c3nc(NC=O)cn3C)cn2C)cn1C,0.5192,0.4846,BUCB+MI
3,0.1,2,2,5,O=C(O)COCC(O)C(O)C=CC=CC#CC=CC(O)COc1ccc(F)cc1,0.483,0.5857,BUCB+MI
3,0.1,2,3,5,CC(C)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C)C#N,0.5615,0.5258,BUCB+MI
3,0.1,2,4,5,CCCCS(=O)(=O)NC(CNC(=O)CN1C(=O)NC(CCCN=C(N)N)C1=O)C(=O)O,0.5024,0.4831,BUCB+MI
3,0.1,2,5,5,CON(C)C(=O)CC1CC(OC(=O)c2ccc([N+](=O)[O-])cc2)CN1C(=O)OC(C)(C)C,0.5654,0.5548,BUCB+MI
3,0.1,3,1,5,CC=CCC=C(C)C(CCC(C)=CC=C(C)C(=O)c1c(O)cc(C(C)CCC=CNC(=O)OC)oc1=O)OC(=O)c1ccc(F)cc1,0.6103,0.03208,BUCB+MI
3,0.1,3,2,5,CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CC2CC2C1C(=O)NC(CCC(N)=O)C(C)O,0.6482,0.6096,BUCB+MI
3,0.1,3,3,5,CCN(CC)S(=O)(=O)c1ccc(C(=O)NCCN(C)C)cc1,0.6815,0.2644,BUCB+MI
3,0.1,3,4,5,CC(C)C(NC(=O)Cn1cccc(NC(=O)CC(=O)O)c1=O)C(=O)C(F)(F)F,0.6386,0.4774,BUCB+MI
3,0.1,3,5,5,N#CCCN(CCC#N)c1ccc(C=C2C(=O)N(c3ccc(S(=O)(=O)O)cc3)N=C2C(=O)O)cc1,0.6217,0.5918,BUCB+MI
3,0.1,4,1,5,CCCC1CC(C(=O)NC(C(C)SCCOCCSCC(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)C2OC(SC)C(O)C(O)C2O)N(C)C1,0.6114,0.5666,BUCB+MI
3,0.1,4,2,5,N#CC(=Cc1ccc(C(=O)O)cc1)C(=O)NCCNC(=O)C(C#N)=Cc1ccc(C(=O)O)cc1,0.6746,0.5806,BUCB+MI
3,0.1,4,3,5,Cc1ccc(S(=O)(=O)NC(CC(=O)NCC(C)(C)C)C(=O)NC(C)C(=O)NC(C=CS(C)(=O)=O)CC(C)C)cc1,0.6994,0.5042,BUCB+MI
3,0.1,4,4,5,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c(C(=O)O)c1)C(=O)O,0.6397,0.5829,BUCB+MI
3,0.1,4,5,5,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)C=CC(F)(F)F)cc2)CC1,0.6528,0.5761,BUCB+MI
3,0.1,5,1,5,N#Cc1ccc(NC(=O)CCCC(=O)O)cc1,0.6887,0.5224,BUCB+MI
3,0.1,5,2,5,CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCC(=O)NC(Cc1ccc([N+](=O)[O-])cc1)C(=O)NC(CCC(C)(C)C)C(N)=O,0.7308,0.5783,BUCB+MI
3,0.1,5,3,5,CCCOc1ccc(S(=O)(=O)N2CC(NC(=O)C(C)O)CC2C(=O)NO)cc1,0.7248,0.5297,BUCB+MI
3,0.1,5,4,5,O=C(O)CCC(NC(=O)c1ccc(C=C2SC(=S)N(CC(=O)O)C2=O)cc1)C(=O)O,0.7342,0.579,BUCB+MI
3,0.1,5,5,5,CC(C#N)c1cc(C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)cc(C(C)(C)C#N)c1,0.6173,0.4746,BUCB+MI
3,0.1,6,1,5,CC(C)c1ccc(C=CCC(CC(N)C(=O)O)C(=O)O)cc1,0.7372,0.5949,BUCB+MI
3,0.1,6,2,5,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C(F)(F)F,0.7443,0.6105,BUCB+MI
3,0.1,6,3,5,NC(N)=NS(=O)(=O)c1ccc(NC(=O)COc2ccc([N+](=O)[O-])cc2)cc1,0.7398,0.5249,BUCB+MI
3,0.1,6,4,5,CC(C)CC(NC(=O)C(NC(=O)C(CO)NC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,0.7331,0.5538,BUCB+MI
3,0.1,6,5,5,CC(C)(C)OC(=O)N1CCC(CS(=O)(=O)c2ccc(NCC#CCO)cc2)(C(=O)NO)CC1,0.7454,0.5609,BUCB+MI
3,0.1,7,1,5,CC(C)Oc1ccc(CC(NC(=O)C(NCP(=O)(O)O)C(C)C)C(=O)O)cc1,0.798,0.5311,BUCB+MI
3,0.1,7,2,5,NS(=O)(=O)c1ccc(NC(=O)CN(CC(=O)O)CC(=O)O)c(F)c1,0.7393,0.5099,BUCB+MI
3,0.1,7,3,5,CCCCCCCCOc1ccc(NC(=O)C(CCCNC(=O)OC(C)(C)C)NC(=O)C2(O)CC(O)C(O)C(OC(=O)C=Cc3ccc(O)c(O)c3)C2)cc1,0.7215,0.6606,BUCB+MI
3,0.1,7,4,5,NCCCCN(CCCN)C(=O)CCC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,0.7451,0.6222,BUCB+MI
3,0.1,7,5,5,CC(C)CC(NC(=O)c1ccc2c(C#N)cc(C(=O)O)n2c1)C(=O)NC(CC(=O)O)c1ccccc1,0.7634,0.588,BUCB+MI
3,0.1,8,1,5,CCCCC(CN(O)C=O)C(=O)NC(C(=O)c1ccc(NC(=O)C(F)(F)F)cc1)C(C)(C)C,0.8003,0.5794,BUCB+MI
3,0.1,8,2,5,N=C(N)NCCCc1cn(CC(=O)NC(CC(=O)O)c2ccc(O)cc2)nn1,0.7358,0.5756,BUCB+MI
3,0.1,8,3,5,CC(C)(CCCOc1ccc(S(=O)(=O)c2ccc(OCCCC(C)(C)C(=O)O)cc2)cc1)C(=O)O,0.7714,0.5436,BUCB+MI
3,0.1,8,4,5,CC(C)C(NC(=O)C(CC(=O)O)NC(=O)C1CN(C(=O)C=Cc2ccc(NC(=N)N)cc2)C1)C(=O)O,0.8134,0.5712,BUCB+MI
