Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB,True f,Method
,,0,1,5,COc1ccc(CNC(=O)C2CCCN(S(=O)(=O)c3ccc4c(c3)CC(C)N4C(C)=O)C2)cc1,0.6928,0.6431,BUCB
,,0,2,5,Cc1cn(CC2CN(c3ccc(N4CCN(C(=O)CNC(=O)c5ccco5)CC4)c(F)c3)C(=O)O2)nn1,0.6728,0.6092,BUCB
,,0,3,5,COc1cccc(CNC(=O)COC(=O)CCS(=O)(=O)c2ccc(C)cc2)c1,0.679,0.572,BUCB
,,0,4,5,COc1ccc(N2CCN(S(=O)(=O)c3ccc(C(=O)NC4CCCC4)cc3)CC2)cc1,0.6753,0.5432,BUCB
,,0,5,5,O=C(COC(=O)CNC(=O)c1ccccc1)NC1CCCCC1,0.6439,0.5357,BUCB
,,1,1,5,COc1ccc(CNC(=O)N2CCN(c3ccc(N4CC(CNC(C)=O)OC4=O)cc3F)CC2)cc1,0.7728,0.6325,BUCB
,,1,2,5,CCOc1ccc(C(=O)NCC(=O)OCC(=O)Nc2cccc(S(=O)(=O)N3CCCC3)c2)cc1,0.7539,0.6034,BUCB
,,1,3,5,Cc1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(C)N4C(=O)C3CC3)CC2)cc1,0.7456,0.1598,BUCB
,,1,4,5,COc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CNC(=O)c2ccco2)c(OC)c1,0.7229,0.6221,BUCB
,,1,5,5,COC(=O)c1ccc(CNC(=O)c2ccc(S(=O)(=O)N3CCCC(C)C3)cc2)cc1,0.7543,0.6086,BUCB
,,2,1,5,COc1ccc(CNC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1,0.8424,0.6223,BUCB
,,2,2,5,COc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CNC(=O)c2cccs2)cc1,0.7833,0.6317,BUCB
,,2,3,5,COc1ccc(C(=O)C=CC(=O)N2CCN(c3ccc(N4CC(CNC(C)=O)OC4=O)cc3F)CC2)cc1,0.7782,0.648,BUCB
,,2,4,5,O=C(COC(=O)CNC(=O)c1ccco1)NCc1ccc(F)cc1,0.751,0.5119,BUCB
