Trial,Beta,Round,Pick,PickTotal,Selected SMILES,UCB+MI,True f,Method
2,0.1,0,1,5,CS(=O)(=O)N(CCI)N(S(C)(=O)=O)S(C)(=O)=O,0.4035,0.2201,BUCB+MI
2,0.1,0,2,5,COc1c(C)c2c(c(O)c1CCOP(=O)(O)CP(=O)(O)OCC1OC(n3c(Br)nc4c(N)ncnc43)C(O)C1O)C(=O)OC2,0.4276,0.4937,BUCB+MI
2,0.1,0,3,5,CC(=CC=CCC(C)C(Cl)(Cl)Cl)C(=O)NC(c1nccs1)C(C)C,0.3989,0.005975,BUCB+MI
2,0.1,0,4,5,C[n+]1ccn(CCCCCCCCCCCn2cc[n+](C)c2)c1,0.4038,9.036e-05,BUCB+MI
2,0.1,0,5,5,O=C(NCCN1CCCCC1)P(=O)(O)O,0.4184,0.4818,BUCB+MI
2,0.1,1,1,5,CS(=O)(=O)NCC1SCC(O)C(O)C1O,0.4568,0.3528,BUCB+MI
2,0.1,1,2,5,COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C1(CCc2c1c(O)c1c(O)nc(C=NOCCN4CCOCC4)cc1c2Br)C3=O,0.5012,0.5507,BUCB+MI
2,0.1,1,3,5,CC1(C)CN1P(=O)(NC(=O)OCCN=C1C(O)=C(Cl)C(=NCCOC(=O)NP(=O)(N2CC2(C)C)N2CC2(C)C)C(O)=C1Cl)N1CC1(C)C,0.4715,0.3631,BUCB+MI
2,0.1,1,4,5,COCC(=O)NC(Cn1cncn1)CP(=O)(O)O,0.4973,0.3822,BUCB+MI
2,0.1,1,5,5,Cc1cc(S(=O)(=O)N2CCCC2)c(C)s1,0.4961,0.004237,BUCB+MI
2,0.1,2,1,5,COC1=C(Br)C(O)C2(C=C1Br)CC(C(=O)NCCc1[nH]c(=N)[nH]c1-c1cc(O)c3[nH]cc(O)c(=O)c3c1O)=NO2,0.539,0.544,BUCB+MI
2,0.1,2,2,5,CN(CC(=O)O)C(=O)COP(=O)(O)OP(=O)(O)O,0.549,0.3717,BUCB+MI
2,0.1,2,3,5,COc1cc(OCC(O)CNCCN2CCOCC2)c2c(c1)OC1COc3cc(OC)c(OC)cc3C1(O)C2=O,0.5756,0.6548,BUCB+MI
2,0.1,2,4,5,Nc1nc(O)c2ncn(C3OC(CNS(=O)(=O)N4CCc5ccccc5C4)C(O)C3O)c2n1,0.5483,0.5609,BUCB+MI
2,0.1,2,5,5,CCOCCc1c(O)nc(SCC(=O)N2CCOCC2)nc1O,0.5667,0.5139,BUCB+MI
2,0.1,3,1,5,CN(C)CC(C)(C)CNc1nc(F)c2c(c1O)C(=O)C1=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3CC1C2,0.5939,0.502,BUCB+MI
