round,pick_idx,smiles,mu,std,UCB,True f
0,1,O=C(Nc1ccccc1)c1ccc(CN2CCOCC2)cc1,0.23725947737693787,0.9120076298713684,0.8821462392807007,0.36878177829171555
0,2,Cc1c(C)n(Cc2cccc(OC(C)C(=O)O)c2)c2ccc(C(=O)NC(C)c3ccc(C(C)(C)C)cc3)cc12,0.2159746289253235,0.927786648273468,0.8720188736915588,0.14587368708705856
0,3,CC(NC(=O)c1ccc(OCc2ccccn2)c(C(F)(F)F)c1Cl)C(=O)C(=O)Nc1ccn(C)n1,0.2075015902519226,0.933641254901886,0.8676856160163879,0.43943537440204117
0,4,CNC(=O)c1[nH]cnc1C(=O)Nc1ccc(Cl)cc1,0.20106253027915955,0.9355886578559875,0.8626235723495483,0.1568643207805063
0,5,COc1ccc(OC(F)(F)F)cc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1,0.21291165053844452,0.9206553101539612,0.8639132380485535,0.1435757066475788
1,1,CCC(NC(=O)c1ccccc1NC(=O)c1ccc(C)cc1)C(=O)O,0.2955743968486786,0.8509441614151001,0.8972827196121216,0.16721792780520106
1,2,O=C(Nc1cc(C(F)(F)F)ccc1N1CCOCC1)c1cccnc1Cl,0.240000918507576,0.9167561531066895,0.8882454037666321,0.35751859933740576
1,3,O=C(Cn1ccc(NC(=O)OCc2ccccc2)nc1=O)NCCc1ccccn1,0.2333213835954666,0.9061802625656128,0.8740875720977783,0.4439372613002911
1,4,Cc1cc(C#N)cc(C)c1Oc1cc(Cl)nc(Nc2ccc(CN3CCOCC3)cc2)c1,0.22458240389823914,0.9028727412223816,0.8630098104476929,0.13092925269003464
1,5,CC(=O)c1c(C)[nH]c(C(=O)COC(=O)COc2ccccc2F)c1C,0.18085792660713196,0.9451625943183899,0.8491888046264648,0.19576781135010599
2,1,CC(C)(NC(=O)OCc1ccccc1)c1nc(O)c(O)c(C(=O)NCc2ccc(C(F)(F)F)cc2)n1,0.27187973260879517,0.8973518013954163,0.9064032435417175,0.44416090728994356
2,2,COc1ccc(CNc2nc(OCc3ccccn3)ncc2C(=O)NCCN2CCOCC2)cc1Cl,0.2601778507232666,0.8997076153755188,0.8963671922683716,0.16343473059640942
2,3,Cc1ccc(C=C(NC(=O)c2ccccc2)C(=O)NCCc2ccccn2)o1,0.2808208167552948,0.8797512054443359,0.902898907661438,0.42320736951515897
2,4,O=C(COC(=O)c1ccc(F)cc1F)Nc1cccnc1Cl,0.23281744122505188,0.9129022359848022,0.8783367872238159,0.16879466394447717
2,5,O=C(c1ccc(-n2cccn2)cc1)N1CCN(c2ncccc2C(F)(F)F)CC1,0.21986600756645203,0.9288849234580994,0.8766868114471436,0.11832244805670797
3,1,O=C(NCc1ccc(C(=O)Nc2cccnc2)cc1)OCc1ccccc1,0.3329789936542511,0.8292508125305176,0.919347882270813,0.43685202833051895
3,2,O=C(NCc1ccccn1)c1nc(C(F)(F)F)[nH]c1-c1ccccc1,0.28978362679481506,0.8772019743919373,0.9100590944290161,0.3952847075210474
3,3,COCC(C)(C)NC(=O)c1c(I)cccc1C(=O)Nc1cc(C(F)(F)F)ccc1F,0.25474342703819275,0.8887457847595215,0.8831815719604492,0.1600989769835418
3,4,CC(C)(C)NC(=O)C(c1ccco1)N(C(=O)c1ccc(CN2CCOCC2)o1)c1ccccc1,0.25296661257743835,0.894637405872345,0.885570764541626,0.1471517764685769
3,5,Oc1c(O)c(Cl)c2c(c1Cl)CCN(C(=S)NCCc1ccccn1)C2,0.1925974041223526,0.9367882013320923,0.8550066947937012,0.38527587518556106
4,1,CN(CCc1ccccn1)C(=O)Cc1ccc(OCc2ccccc2)cc1,0.32184746861457825,0.8538796901702881,0.9256315231323242,0.4264014327112209
4,2,O=C(NC(C(=O)N1CCCC1)c1ccccc1)c1ccc(CNC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)cc1,0.281707763671875,0.8813654184341431,0.9049271941184998,0.0066023623754293105
4,3,Cc1nn(C)c(Cl)c1NC(=O)OCc1ccccc1,0.2876468300819397,0.8843807578086853,0.9129984378814697,0.18393972058572114
4,4,O=C(NCCc1ccccn1)C1CC(=O)N(CC(F)(F)F)C1,0.2559388279914856,0.9009527564048767,0.8930086493492126,0.14247909490690872
4,5,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)c1ccccc1,0.24590708315372467,0.9050746560096741,0.8858914971351624,0.41952353926806063
5,1,CSc1ccc(OCc2ccccc2)c(C(=O)Nc2ccc(C(=O)O)cn2)c1,0.3202497959136963,0.8571150302886963,0.9263216257095337,0.44550340340198086
5,2,S=C(NCCc1ccccn1)Nc1ccccc1,0.3369845449924469,0.822201669216156,0.918368935585022,0.13286244107442036
5,3,CCOc1ccccc1CNC(=O)c1nc(C(C)(C)C)nc(O)c1O,0.24960622191429138,0.8924761414527893,0.880682110786438,0.1759731452785479
5,4,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)cs1,0.25101226568222046,0.9161502718925476,0.8988283276557922,0.37655151676247356
5,5,Oc1c(Cl)c(Cl)c2ncccc2c1Cl,0.17365345358848572,0.9533609747886658,0.8477814197540283,0.13133398086617384
6,1,COc1ccc(C(=O)Nc2ncc(-c3ccc(C(=O)O)cc3OCc3ccccn3)s2)cc1,0.32688042521476746,0.8626669049263,0.9368780851364136,0.15874622227139212
6,2,CC(NC(=O)c1cc2ccccc2cn1)C(=O)OCc1ccccc1,0.3505406975746155,0.811813235282898,0.9245793223381042,0.44901325506693723
6,3,O=C(NCc1ccccn1)c1c2c(c(O)c3ncccc13)C(=O)N(Cc1ccc(F)cc1)C2,0.28606918454170227,0.8851538300514221,0.911967396736145,0.006830354526181601
6,4,O=c1nc(N2CCOCC2)oc2cccc(OCc3ccccc3)c12,0.2802585959434509,0.873839795589447,0.8981566429138184,0.14374239215798393
6,5,CN(C)c1nc(N)c(C(=O)Nc2ccccn2)nc1Cl,0.21872416138648987,0.9196504354476929,0.8690152168273926,0.16001241359414592
7,1,CN(CCN(C)c1ccc(C(=O)Nc2ccccc2N)cn1)C(=O)OCc1ccccc1,0.3259490728378296,0.8424206376075745,0.9216303825378418,0.46625240412015684
7,2,FC(F)(F)c1cc(NCCc2ccccc2)nc(-c2ccccn2)n1,0.2808849811553955,0.8727787137031555,0.8980327248573303,0.3588702812826367
7,3,CN(NC(=O)C(=Cc1ccc(Cl)cc1)NC(=O)c1ccccc1)c1cn[nH]c(=O)c1Cl,0.27353209257125854,0.8804489970207214,0.89610356092453,0.43405736614121554
7,4,CSc1ncccc1C(=O)OCc1ccc([N+](=O)[O-])cc1,0.23587210476398468,0.9046340584754944,0.8755449652671814,0.1572049603147285
7,5,Cc1cc(C(F)(F)F)cnc1CCCC(=O)N1CCc2c(Cl)c(O)c(O)c(Cl)c2C1,0.2134074717760086,0.8885045647621155,0.8416750431060791,0.35856858280031806
8,1,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cn1)c1ccccc1,0.32904958724975586,0.8494095206260681,0.9296728372573853,0.4264014327112209
8,2,CC(C)C(NC(=O)Cn1cc(Cc2cccc(O)c2)cc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,0.3089729845523834,0.8607744574546814,0.9176324605941772,0.43713018947193605
8,3,CCCCc1ncc(C=C(Cc2ccccc2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,0.3045232594013214,0.8760620951652527,0.9239927530288696,0.4423258684646914
8,4,Cc1onc(C(N)=O)c1C(=O)Nc1ncc(C(F)(F)F)cc1Cl,0.21505288779735565,0.9194862246513367,0.8652278184890747,0.1514535691207899
8,5,[O-][S+](Cc1cc(OCc2ccccc2)ccn1)c1nc2cscc2[nH]1,0.26202309131622314,0.8943662047386169,0.894435465335846,0.14785754443353358
9,1,O=C(Cn1cccc(NC(=O)c2ccccc2)c1=O)NCc1ccc(Cl)c(Cl)c1,0.35624369978904724,0.8311060070991516,0.9439244270324707,0.45226701686664544
9,2,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)CF,0.32427844405174255,0.8473342657089233,0.9234342575073242,0.16570857802364083
9,3,O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc2ccccc2c1,0.2930034399032593,0.8758803606033325,0.9123443961143494,0.39587424507089086
9,4,CN(CCc1cc(CCC(=O)O)cc(Cc2cccnc2)c1)S(=O)(=O)c1ccc(Cl)cc1,0.2497720718383789,0.9158816337585449,0.8973981738090515,0.40967324519935133
9,5,O=C(C=Cc1ccc(O)cc1)N1CCc2c(Cl)c(O)c(O)c(Cl)c2C1,0.24943621456623077,0.8579502701759338,0.8560986518859863,0.3630192084951348
10,1,O=C(CN(c1cc(C(F)(F)F)ccc1Cl)S(=O)(=O)c1ccccc1)NCc1cccnc1,0.34961652755737305,0.8483543992042542,0.9494936466217041,0.411113225896519
10,2,O=C(Nc1ccccc1Oc1ccsc1C(=O)O)c1ccccc1,0.3578372895717621,0.8244697451591492,0.9408254623413086,0.421211769587116
10,3,O=C(O)CCNC(=O)c1ncc2ccn(Cc3ccccc3)c(=O)c2c1O,0.32321983575820923,0.8707466125488281,0.9389306306838989,0.4419417382415922
10,4,CCN(CC)CCN=S(C)(=O)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,0.29655173420906067,0.8827845454216003,0.9207746982574463,0.42919753763947605
10,5,Oc1ccc(CCCCc2ccc(Cl)c(Cl)c2)cc1O,0.23106926679611206,0.9229316115379333,0.8836804628372192,0.1501861529550426
11,1,CC(CCCNC(=O)c1ccccc1)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,0.3468760848045349,0.8598147034645081,0.9548568725585938,0.43151697133684574
11,2,Cc1cc(NC(=O)Cc2ccccc2)ccc1NC(=O)c1cccs1,0.3443668782711029,0.8535498976707458,0.9479178190231323,0.4381780460041329
11,3,O=C(Nc1cnc(-n2nc(-c3cccnc3)cc2C(F)(F)F)cn1)c1ccccc1,0.3386293649673462,0.852767825126648,0.9416272640228271,0.1336291089560445
11,4,CC(C)C(N=C(O)C(Cc1ccccn1)N=C(O)C(CC(=O)O)N=C(O)OCc1ccccc1)C(O)=NC(C=CS(=O)(=O)c1ccccc1)CC(=O)O,0.25334352254867554,0.9100509285926819,0.8968467116355896,0.3779644730092272
11,5,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(Cl)c1Cl,0.19671235978603363,0.9507787227630615,0.8690144419670105,0.006738023238290179
12,1,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)NCCc2ccccc2)cc1,0.35358375310897827,0.8468341827392578,0.9523859620094299,0.41429674273976147
12,2,CCc1nc(SC)ncc1C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1,0.3383418321609497,0.8524591326713562,0.9411214590072632,0.46770717334674267
