round,pick_idx,smiles,mu,std,UCB,True f
0,1,Cn1c(=O)n2c(=O)n(C)c(=O)n2c1=O,0.06288642436265945,0.9895681738853455,3.19217586517334,0.24373333911071626
0,2,NS(=O)(=O)c1ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(I)c1,0.04345450922846794,0.9942678213119507,3.187605381011963,0.057453116249222294
0,3,C=C(Cl)C(C)(Cl)CCC(Cl)C(C)C,0.04106318950653076,0.9935811758041382,3.1830430030822754,0.006005934591060585
0,4,c1cc(CN2CCCNCCCNCCNCCC2)cc(CN2CCCNCCCNCCNCCC2)c1,0.04184727743268013,0.9929608106613159,3.1818649768829346,0.08794000657481137
0,5,Cc1cc(C)c(Nc2nc(NCCCCNc3nc(Nc4c(C)cc(C)cc4C)nc(Nc4c(C)cc(C)cc4C)n3)nc(Nc3c(C)cc(C)cc3C)n2)c(C)c1,0.04747520387172699,0.9910986423492432,3.1816041469573975,1.980537591759953e-08
1,1,NC(=O)C(=CN1C(=O)CC(=O)NC1=S)C(N)=O,0.07999271899461746,0.9841340184211731,3.1920979022979736,0.005652328874455302
1,2,Cn1sccc1=N,0.04747067391872406,0.992516040802002,3.186081886291504,0.05545991247505892
1,3,CC1CC2CCC(O2)C(C)C(=O)OC(C)CC2CCC(O2)C(C)C(=O)OC(C)CC2CCC(O2)C(C)C(=O)OC(C)CC2CCC(O2)C(C)C(=O)O1,0.045700617134571075,0.992149293422699,3.183152198791504,0.005366781795463149
1,4,O=c1sc2c(s1)SSSSS2,0.03632350638508797,0.9962458610534668,3.186729669570923,0.03642549247875357
1,5,CCCCCc1cc[n+](CCCCCCCCCCCC[n+]2ccc(CCCCC)c(CCCCC)c2)cc1CCCCC,0.049805544316768646,0.9893938302993774,3.1785435676574707,0.21764287503300353
2,1,Cc1cc2c(cc1C)[n+]([O-])c(C#N)c[n+]2[O-],0.06849008798599243,0.9850019216537476,3.1833395957946777,0.13363062095621217
2,2,CCC(=O)OCCN(CCN(CCOC(=O)CC)CC(=O)N(CC(=O)O)CC(=O)O)CC(=O)N(CC(=O)O)CC(=O)O,0.04024854674935341,0.9912564754486084,3.1748769283294678,0.006415688477345594
2,3,CN=C(NC)SCc1c(Br)c(Br)c(Br)c(Br)c1Br,0.051028914749622345,0.9896054863929749,3.180436372756958,0.07738402205156221
2,4,O=P([O-])(O)C(O)(C[n+]1ccccc1)P(=O)(O)O,0.06017494201660156,0.9858639240264893,3.1777503490448,0.0698351426121671
2,5,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,0.022086553275585175,0.9960097074508667,3.171746015548706,0.0032045692564625027
3,1,N#CC1(C#N)NC(c2ccsc2)C(C#N)(C#N)NC1c1ccsc1,0.05617760866880417,0.9865840077400208,3.176030158996582,0.12082441866603538
3,2,Fc1cc(F)c(F)c(S)c1F,0.04948049038648605,0.9883227944374084,3.1748316287994385,0.0
3,3,O=NN1CC=CC1,0.03137924522161484,0.9923614859580994,3.169501781463623,0.003927285207234899
3,4,O=S(=O)(NS(=O)(=O)N1CCc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1)N1CCc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,0.04245295003056526,0.9890069365501404,3.1699676513671875,0.25482359571881275
3,5,O=CC=O,0.015215854160487652,0.9965088367462158,3.1664535999298096,0.002932849441013661
