Iteration,Top5_running_mean,Top5_running_std
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,1.9592475e-05,2.7688553725644763e-05
5,0.05740236062,0.040589545101996895
6,0.05750402728666667,0.04062828705530351
7,0.07401070667333333,0.05610259770110982
8,0.09203604000666665,0.06506614748333689
9,0.09791450667333333,0.06818371236478973
10,0.09793109936,0.0681785987291996
11,0.09813860602666664,0.06831343439732465
12,0.12165855330666665,0.039078815128942596
13,0.1367910829,0.04996815061764751
14,0.16701506,0.014130987245690467
15,0.18304526666666665,0.012253612698665215
16,0.21295313333333335,0.025615638289312462
17,0.23096866666666668,0.03955219337646005
18,0.23096866666666668,0.03955219337646005
19,0.2331646666666667,0.038325311543272414
20,0.2331646666666667,0.038325311543272414
21,0.23852466666666672,0.04583014159068489
22,0.24935600000000002,0.04237018612184754
23,0.26422933333333337,0.04626888386618185
24,0.28182,0.02169627310545909
25,0.31356,0.013033157714076777
26,0.3361266666666667,0.016424407312154547
27,0.3582,0.01673717618556566
28,0.37338000000000005,0.024423027385372727
29,0.4021866666666667,0.01876180754144499
30,0.4147266666666667,0.011603681408166202
31,0.42122666666666664,0.0037998362537819304
32,0.42122666666666664,0.0037998362537819304
33,,
