Iteration,Top5_running_mean
1,0.5826
2,0.45575
3,0.4767666666666666
4,0.38091749999999996
5,0.34315399999999996
6,0.441
7,0.45292000000000004
8,0.51888
9,0.5755800000000001
10,0.5755800000000001
11,0.5755800000000001
12,0.59878
13,0.59878
14,0.60516
15,0.60516
16,0.60516
17,0.6096199999999999
18,0.60978
19,0.60978
20,0.60978
21,0.60978
22,0.60978
23,0.60978
24,0.62158
25,0.62158
26,0.6255000000000001
27,0.6255000000000001
28,0.6255000000000001
29,0.6255000000000001
30,0.6255000000000001
31,0.62724
32,0.62724
33,0.62724
34,0.62724
35,0.63182
36,0.63182
37,0.63182
38,0.63182
39,0.6417400000000001
40,0.6417400000000001
41,0.6460799999999999
42,0.6502199999999999
43,0.65426
44,0.65426
45,0.65426
46,0.6601199999999999
47,0.6601199999999999
48,0.6601199999999999
49,0.6601199999999999
50,0.6601199999999999
51,0.6601199999999999
52,0.6601199999999999
53,0.6601199999999999
54,0.6601199999999999
55,0.6633
56,0.6657
57,0.6657
58,0.6657
59,0.6657
60,0.6657
61,0.6657
62,0.6657
63,0.6657
64,0.6657
65,0.6657
66,0.6657
67,0.66778
68,0.66778
69,0.66778
70,0.66778
71,0.66778
72,0.66778
73,0.67064
74,0.67064
75,0.67064
76,0.67064
77,0.67064
78,0.67064
79,0.67064
80,0.6765
81,0.6765
82,0.6765
83,0.6782600000000001
84,0.6782600000000001
85,0.6782600000000001
86,0.6782600000000001
87,0.6782600000000001
88,0.6782600000000001
89,0.6782600000000001
90,0.6782600000000001
91,0.6782600000000001
92,0.68132
93,0.68132
94,0.68132
95,0.68132
96,0.68132
97,0.6821200000000001
98,0.6821200000000001
99,0.6821200000000001
100,0.6821200000000001
101,0.6821200000000001
102,0.6821200000000001
103,0.6821200000000001
104,0.6821200000000001
105,0.6821200000000001
106,0.68216
107,0.6828000000000001
108,0.6828000000000001
109,0.6828000000000001
110,0.6828000000000001
111,0.6828000000000001
112,0.6828000000000001
113,0.6828000000000001
114,0.6828000000000001
115,0.6828000000000001
116,0.6828000000000001
117,0.6828000000000001
118,0.6828000000000001
119,0.6828000000000001
120,0.6828000000000001
121,0.6828000000000001
122,0.6828000000000001
123,0.6828000000000001
124,0.6828000000000001
125,0.6828000000000001
126,0.68676
127,0.6917
128,0.6917
129,0.6917
130,0.6917
131,0.6917
132,0.6917
133,0.6917
134,0.6917
135,0.6917
136,0.6917
137,0.6917
138,0.6917
139,0.6917
140,0.6917
141,0.6917
142,0.69202
143,0.69202
144,0.69202
145,0.69202
146,0.69202
147,0.69202
148,0.69202
149,0.69202
150,0.69202
151,0.69202
152,0.69202
153,0.69202
154,0.69202
155,0.69202
156,0.69202
157,0.69202
158,0.69202
159,0.69202
160,0.69202
161,0.69202
162,0.69336
163,0.69336
164,0.69336
165,0.69336
166,0.69336
167,0.69336
168,0.69336
169,0.69336
170,0.69336
171,0.69336
172,0.69336
173,0.69336
174,0.69336
175,0.69336
176,0.69336
177,0.69336
178,0.69336
179,0.69336
180,0.69336
181,0.69336
182,0.69336
183,0.69336
184,0.69336
185,0.69336
186,0.69336
187,0.69336
188,0.69336
189,0.69336
190,0.69336
191,0.69336
192,0.69336
193,0.69336
194,0.69336
195,0.69336
196,0.6948399999999999
197,0.6948399999999999
198,0.6948399999999999
199,0.6948399999999999
200,0.6948399999999999
