Iteration,Top5_running_mean
1,0.4666
2,0.46535000000000004
3,0.4443333333333334
4,0.457275
5,0.45612
6,0.45612
7,0.47912
8,0.49148000000000003
9,0.5142
10,0.5142
11,0.51666
12,0.51666
13,0.53498
14,0.5386000000000001
15,0.5549200000000001
16,0.5549200000000001
17,0.5549200000000001
18,0.5690000000000001
19,0.58464
20,0.58464
21,0.58464
22,0.58936
23,0.58936
24,0.59236
25,0.59236
26,0.6053200000000001
27,0.6053200000000001
28,0.60894
29,0.6156200000000001
30,0.6156200000000001
31,0.6156200000000001
32,0.6156200000000001
33,0.6156200000000001
34,0.6156200000000001
35,0.6225599999999999
36,0.6276999999999999
37,0.6289399999999999
38,0.6289399999999999
39,0.6289399999999999
40,0.6289399999999999
41,0.6289399999999999
42,0.6289399999999999
43,0.6289399999999999
44,0.6289399999999999
45,0.6289399999999999
46,0.6380199999999999
47,0.64212
48,0.64512
49,0.64512
50,0.64702
51,0.64702
52,0.64702
53,0.6484
54,0.6484
55,0.6484
56,0.6484
57,0.65522
58,0.65522
59,0.65522
60,0.65522
61,0.66658
62,0.66658
63,0.66658
64,0.66658
65,0.66658
66,0.66658
67,0.66658
68,0.66712
69,0.66712
70,0.66712
71,0.66712
72,0.66712
73,0.66712
74,0.66712
75,0.66712
76,0.66712
77,0.66712
78,0.66712
79,0.66712
80,0.66712
81,0.66712
82,0.66712
83,0.66712
84,0.6698999999999999
85,0.6698999999999999
86,0.6698999999999999
87,0.6698999999999999
88,0.67162
89,0.67162
90,0.67162
91,0.67162
92,0.6722400000000001
93,0.6722400000000001
94,0.6722400000000001
95,0.6722400000000001
96,0.6722400000000001
97,0.6722400000000001
98,0.6722400000000001
99,0.6722400000000001
100,0.6722400000000001
101,0.67372
102,0.67372
103,0.67372
104,0.67372
105,0.67372
106,0.67372
107,0.67372
108,0.67372
109,0.67372
110,0.67372
111,0.67372
112,0.6748000000000001
113,0.6748000000000001
114,0.6748000000000001
115,0.6748000000000001
116,0.6748000000000001
117,0.6815199999999999
118,0.6815199999999999
119,0.6815199999999999
120,0.6815199999999999
121,0.6815199999999999
122,0.6815199999999999
123,0.6815199999999999
124,0.6815199999999999
125,0.6815199999999999
126,0.69026
127,0.69026
128,0.69026
129,0.69026
130,0.69026
131,0.69026
132,0.69026
133,0.69026
134,0.69026
135,0.69026
136,0.6967399999999999
137,0.6967399999999999
138,0.6967399999999999
139,0.6967399999999999
140,0.6967399999999999
141,0.6967399999999999
142,0.6967399999999999
143,0.6967399999999999
144,0.6967399999999999
145,0.6967399999999999
146,0.6967399999999999
147,0.6967399999999999
148,0.6967399999999999
149,0.6967399999999999
150,0.6967399999999999
151,0.6967399999999999
152,0.6967399999999999
153,0.6967399999999999
154,0.6967399999999999
155,0.6967399999999999
156,0.70134
157,0.70134
158,0.70134
159,0.70134
160,0.70134
161,0.70134
162,0.70134
163,0.70134
164,0.70134
165,0.70134
166,0.70134
167,0.70134
168,0.70134
169,0.70134
170,0.70134
171,0.70134
172,0.70134
173,0.70134
174,0.70134
175,0.70134
176,0.70134
177,0.70134
178,0.70134
179,0.70134
180,0.70134
181,0.70134
182,0.70134
183,0.70134
184,0.70134
185,0.70134
186,0.70134
187,0.70134
188,0.70134
189,0.70134
190,0.70134
191,0.70134
192,0.70134
193,0.70134
194,0.70134
195,0.70832
196,0.70832
197,0.70832
198,0.70832
199,0.70832
200,0.70832
