round,pick_idx,smiles,mu,std,UCB,True f
0,1,O=C(Nc1cccc(-n2cnnn2)c1)c1ccc(C(F)(F)F)cc1,0.24460548162460327,0.9028658270835876,0.8830280303955078,0.32691012374601314
0,2,Cc1ccc2nc(C(F)(F)F)oc(=O)c2c1,0.17968641221523285,0.9560210108757019,0.855695366859436,0.12822871950301482
0,3,CCCCc1ccc(NC(=O)C2(C)Cc3ccccc3C(=O)O2)cc1,0.19347625970840454,0.9215267896652222,0.8450940847396851,0.45083481733371616
0,4,OC(CC1CCCCN1)c1cc2ccccc2c2cc(C(F)(F)F)ccc12,0.20071597397327423,0.9208122491836548,0.8518285155296326,0.1380115502814124
0,5,CC(=O)c1cnc(Nc2nc(C)c3ccccc3n2)nc1C,0.17786291241645813,0.9361386299133301,0.8398128747940063,0.44528177828086063
1,1,O=C(Nc1ccc(C(F)(F)F)cc1)c1ccc2ccccc2n1,0.30835890769958496,0.8491888046264648,0.9088260531425476,0.3810003810005715
1,2,CCCOC(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,0.25878435373306274,0.9014212489128113,0.8961853981018066,0.49559462778335206
1,3,Cc1nc(NCc2ccc3c(c2)OCO3)nc2ccccc12,0.2539459466934204,0.8993372917175293,0.8898734450340271,0.14458717182399733
1,4,COc1ccc(NC(=O)C2(C)Cc3c(-c4cccc(NC(C)=O)c4)ccnc3O2)cn1,0.22147376835346222,0.9309238195419312,0.8797363042831421,0.151775468674415
1,5,Cc1cc(C)n(-c2nc(Nc3cccc(C(F)(F)F)c3)nc(-n3nc(C)cc3C)n2)n1,0.20843958854675293,0.9355584383010864,0.8699793219566345,0.1255317406519659
2,1,CCc1ccc(NC(=S)OCCN2C(=O)c3ccccc3C2=O)cc1,0.32093164324760437,0.8602818846702576,0.929242730140686,0.47237749297333015
2,2,O=C(O)c1ccccc1C(=O)c1ccc(C(F)(F)F)cc1,0.30547642707824707,0.8528934121131897,0.9085631370544434,0.1540877417148235
2,3,CCCOC(=O)c1ccccc1,0.2577279210090637,0.9087595343589783,0.9003179669380188,0.009106225684831935
2,4,CC1(C)Cc2ccccc2C(NNC(=O)c2ccccn2)=N1,0.24295315146446228,0.921053946018219,0.89423668384552,0.39626354032187944
2,5,CCOC(=O)c1cnc(NN2C(=O)C=C(C)C2=O)nc1CC,0.18448209762573242,0.9529439210891724,0.8583151698112488,0.17380669889161648
3,1,O=C(CCCN1C(=O)c2ccccc2C1=O)Nc1ccc(F)cc1,0.36989307403564453,0.811182975769043,0.9434860348701477,0.4341941848573452
3,2,CCc1ccc(C2CC(=O)NC(NC(=O)c3ccc(C(C)(C)C)cc3)=N2)cc1,0.2598643898963928,0.90627521276474,0.9006977081298828,0.42802582500385306
3,3,CN(C)c1ncnc2c1Cc1ccccc1C(=O)N2C,0.22530226409435272,0.9310502409934998,0.8836541771888733,0.4207031619116713
